,entity,id,start,end,sent_context,full_context
0,Союза армянской молодежи Украины,Q4430468,25,57,"8 сентября по инициативе Союза армянской молодежи Украины в Киеве отметили храмовый праздник церкви Рождества Богородицы, которая существовала ранее на Подоле.","8 сентября по инициативе Союза армянской молодежи Украины в Киеве отметили храмовый праздник церкви Рождества Богородицы, которая существовала ранее на Подоле.
 
 В праздновании приняли участие представители армянских молодежных организаций из многих областей Украины, киевской общины и Гражданской платформы «Армяне Украины», пишет AnalitikaUA.net.
 
 В храмовый день представители Союза армянской молодежи Украины вместе с настоятелем армянской часовни Србоц Наатакац отцом Карапетом Гарибяном посетили Подол, где у памятной плиты состоялось возложение цветов и молебен.
 
 После завершения памятных мероприятий, председатели региональных молодежных организации, провели рабочее заседание, где обсудили актуальные вопросы САМУ.
 
 Союз армян Украины проводит активную работу в направлении популяризации национальных исторических ценностей. Председатель Союза армян Украины Вилен Шатворян заявил: «Мы гордимся богатым культурным и историческим наследием армян Украины, и сделаем все возможное для сохранения и популяризации исторического, архитектурного и культурного наследия»."
2,Киеве,Q1899,60,65,"8 сентября по инициативе Союза армянской молодежи Украины в Киеве отметили храмовый праздник церкви Рождества Богородицы, которая существовала ранее на Подоле.","8 сентября по инициативе Союза армянской молодежи Украины в Киеве отметили храмовый праздник церкви Рождества Богородицы, которая существовала ранее на Подоле.
 
 В праздновании приняли участие представители армянских молодежных организаций из многих областей Украины, киевской общины и Гражданской платформы «Армяне Украины», пишет AnalitikaUA.net.
 
 В храмовый день представители Союза армянской молодежи Украины вместе с настоятелем армянской часовни Србоц Наатакац отцом Карапетом Гарибяном посетили Подол, где у памятной плиты состоялось возложение цветов и молебен.
 
 После завершения памятных мероприятий, председатели региональных молодежных организации, провели рабочее заседание, где обсудили актуальные вопросы САМУ.
 
 Союз армян Украины проводит активную работу в направлении популяризации национальных исторических ценностей. Председатель Союза армян Украины Вилен Шатворян заявил: «Мы гордимся богатым культурным и историческим наследием армян Украины, и сделаем все возможное для сохранения и популяризации исторического, архитектурного и культурного наследия»."
3,Подоле,Q13222773,152,158,"8 сентября по инициативе Союза армянской молодежи Украины в Киеве отметили храмовый праздник церкви Рождества Богородицы, которая существовала ранее на Подоле.","8 сентября по инициативе Союза армянской молодежи Украины в Киеве отметили храмовый праздник церкви Рождества Богородицы, которая существовала ранее на Подоле.
 
 В праздновании приняли участие представители армянских молодежных организаций из многих областей Украины, киевской общины и Гражданской платформы «Армяне Украины», пишет AnalitikaUA.net.
 
 В храмовый день представители Союза армянской молодежи Украины вместе с настоятелем армянской часовни Србоц Наатакац отцом Карапетом Гарибяном посетили Подол, где у памятной плиты состоялось возложение цветов и молебен.
 
 После завершения памятных мероприятий, председатели региональных молодежных организации, провели рабочее заседание, где обсудили актуальные вопросы САМУ.
 
 Союз армян Украины проводит активную работу в направлении популяризации национальных исторических ценностей. Председатель Союза армян Украины Вилен Шатворян заявил: «Мы гордимся богатым культурным и историческим наследием армян Украины, и сделаем все возможное для сохранения и популяризации исторического, архитектурного и культурного наследия»."
4,Украины,Q212,260,267,"В праздновании приняли участие представители армянских молодежных организаций из многих областей Украины, киевской общины и Гражданской платформы «Армяне Украины», пишет AnalitikaUA.net.","8 сентября по инициативе Союза армянской молодежи Украины в Киеве отметили храмовый праздник церкви Рождества Богородицы, которая существовала ранее на Подоле.
 
 В праздновании приняли участие представители армянских молодежных организаций из многих областей Украины, киевской общины и Гражданской платформы «Армяне Украины», пишет AnalitikaUA.net.
 
 В храмовый день представители Союза армянской молодежи Украины вместе с настоятелем армянской часовни Србоц Наатакац отцом Карапетом Гарибяном посетили Подол, где у памятной плиты состоялось возложение цветов и молебен.
 
 После завершения памятных мероприятий, председатели региональных молодежных организации, провели рабочее заседание, где обсудили актуальные вопросы САМУ.
 
 Союз армян Украины проводит активную работу в направлении популяризации национальных исторических ценностей. Председатель Союза армян Украины Вилен Шатворян заявил: «Мы гордимся богатым культурным и историческим наследием армян Украины, и сделаем все возможное для сохранения и популяризации исторического, архитектурного и культурного наследия»."
5,Гражданской платформы «Армяне Украины»,-1,287,325,"В праздновании приняли участие представители армянских молодежных организаций из многих областей Украины, киевской общины и Гражданской платформы «Армяне Украины», пишет AnalitikaUA.net.","8 сентября по инициативе Союза армянской молодежи Украины в Киеве отметили храмовый праздник церкви Рождества Богородицы, которая существовала ранее на Подоле.
 
 В праздновании приняли участие представители армянских молодежных организаций из многих областей Украины, киевской общины и Гражданской платформы «Армяне Украины», пишет AnalitikaUA.net.
 
 В храмовый день представители Союза армянской молодежи Украины вместе с настоятелем армянской часовни Србоц Наатакац отцом Карапетом Гарибяном посетили Подол, где у памятной плиты состоялось возложение цветов и молебен.
 
 После завершения памятных мероприятий, председатели региональных молодежных организации, провели рабочее заседание, где обсудили актуальные вопросы САМУ.
 
 Союз армян Украины проводит активную работу в направлении популяризации национальных исторических ценностей. Председатель Союза армян Украины Вилен Шатворян заявил: «Мы гордимся богатым культурным и историческим наследием армян Украины, и сделаем все возможное для сохранения и популяризации исторического, архитектурного и культурного наследия»."
6,AnalitikaUA.net,-1,333,348,"В праздновании приняли участие представители армянских молодежных организаций из многих областей Украины, киевской общины и Гражданской платформы «Армяне Украины», пишет AnalitikaUA.net.","8 сентября по инициативе Союза армянской молодежи Украины в Киеве отметили храмовый праздник церкви Рождества Богородицы, которая существовала ранее на Подоле.
 
 В праздновании приняли участие представители армянских молодежных организаций из многих областей Украины, киевской общины и Гражданской платформы «Армяне Украины», пишет AnalitikaUA.net.
 
 В храмовый день представители Союза армянской молодежи Украины вместе с настоятелем армянской часовни Србоц Наатакац отцом Карапетом Гарибяном посетили Подол, где у памятной плиты состоялось возложение цветов и молебен.
 
 После завершения памятных мероприятий, председатели региональных молодежных организации, провели рабочее заседание, где обсудили актуальные вопросы САМУ.
 
 Союз армян Украины проводит активную работу в направлении популяризации национальных исторических ценностей. Председатель Союза армян Украины Вилен Шатворян заявил: «Мы гордимся богатым культурным и историческим наследием армян Украины, и сделаем все возможное для сохранения и популяризации исторического, архитектурного и культурного наследия»."
7,Союза армянской молодежи Украины,Q4430468,383,415,"В храмовый день представители Союза армянской молодежи Украины вместе с настоятелем армянской часовни Србоц Наатакац отцом Карапетом Гарибяном посетили Подол, где у памятной плиты состоялось возложение цветов и молебен.","8 сентября по инициативе Союза армянской молодежи Украины в Киеве отметили храмовый праздник церкви Рождества Богородицы, которая существовала ранее на Подоле.
 
 В праздновании приняли участие представители армянских молодежных организаций из многих областей Украины, киевской общины и Гражданской платформы «Армяне Украины», пишет AnalitikaUA.net.
 
 В храмовый день представители Союза армянской молодежи Украины вместе с настоятелем армянской часовни Србоц Наатакац отцом Карапетом Гарибяном посетили Подол, где у памятной плиты состоялось возложение цветов и молебен.
 
 После завершения памятных мероприятий, председатели региональных молодежных организации, провели рабочее заседание, где обсудили актуальные вопросы САМУ.
 
 Союз армян Украины проводит активную работу в направлении популяризации национальных исторических ценностей. Председатель Союза армян Украины Вилен Шатворян заявил: «Мы гордимся богатым культурным и историческим наследием армян Украины, и сделаем все возможное для сохранения и популяризации исторического, архитектурного и культурного наследия»."
9,Србоц Наатакац,-1,455,469,"В храмовый день представители Союза армянской молодежи Украины вместе с настоятелем армянской часовни Србоц Наатакац отцом Карапетом Гарибяном посетили Подол, где у памятной плиты состоялось возложение цветов и молебен.","8 сентября по инициативе Союза армянской молодежи Украины в Киеве отметили храмовый праздник церкви Рождества Богородицы, которая существовала ранее на Подоле.
 
 В праздновании приняли участие представители армянских молодежных организаций из многих областей Украины, киевской общины и Гражданской платформы «Армяне Украины», пишет AnalitikaUA.net.
 
 В храмовый день представители Союза армянской молодежи Украины вместе с настоятелем армянской часовни Србоц Наатакац отцом Карапетом Гарибяном посетили Подол, где у памятной плиты состоялось возложение цветов и молебен.
 
 После завершения памятных мероприятий, председатели региональных молодежных организации, провели рабочее заседание, где обсудили актуальные вопросы САМУ.
 
 Союз армян Украины проводит активную работу в направлении популяризации национальных исторических ценностей. Председатель Союза армян Украины Вилен Шатворян заявил: «Мы гордимся богатым культурным и историческим наследием армян Украины, и сделаем все возможное для сохранения и популяризации исторического, архитектурного и культурного наследия»."
10,Карапетом Гарибяном,-1,476,495,"В храмовый день представители Союза армянской молодежи Украины вместе с настоятелем армянской часовни Србоц Наатакац отцом Карапетом Гарибяном посетили Подол, где у памятной плиты состоялось возложение цветов и молебен.","8 сентября по инициативе Союза армянской молодежи Украины в Киеве отметили храмовый праздник церкви Рождества Богородицы, которая существовала ранее на Подоле.
 
 В праздновании приняли участие представители армянских молодежных организаций из многих областей Украины, киевской общины и Гражданской платформы «Армяне Украины», пишет AnalitikaUA.net.
 
 В храмовый день представители Союза армянской молодежи Украины вместе с настоятелем армянской часовни Србоц Наатакац отцом Карапетом Гарибяном посетили Подол, где у памятной плиты состоялось возложение цветов и молебен.
 
 После завершения памятных мероприятий, председатели региональных молодежных организации, провели рабочее заседание, где обсудили актуальные вопросы САМУ.
 
 Союз армян Украины проводит активную работу в направлении популяризации национальных исторических ценностей. Председатель Союза армян Украины Вилен Шатворян заявил: «Мы гордимся богатым культурным и историческим наследием армян Украины, и сделаем все возможное для сохранения и популяризации исторического, архитектурного и культурного наследия»."
11,Подол,Q13222773,505,510,"В храмовый день представители Союза армянской молодежи Украины вместе с настоятелем армянской часовни Србоц Наатакац отцом Карапетом Гарибяном посетили Подол, где у памятной плиты состоялось возложение цветов и молебен.","8 сентября по инициативе Союза армянской молодежи Украины в Киеве отметили храмовый праздник церкви Рождества Богородицы, которая существовала ранее на Подоле.
 
 В праздновании приняли участие представители армянских молодежных организаций из многих областей Украины, киевской общины и Гражданской платформы «Армяне Украины», пишет AnalitikaUA.net.
 
 В храмовый день представители Союза армянской молодежи Украины вместе с настоятелем армянской часовни Србоц Наатакац отцом Карапетом Гарибяном посетили Подол, где у памятной плиты состоялось возложение цветов и молебен.
 
 После завершения памятных мероприятий, председатели региональных молодежных организации, провели рабочее заседание, где обсудили актуальные вопросы САМУ.
 
 Союз армян Украины проводит активную работу в направлении популяризации национальных исторических ценностей. Председатель Союза армян Украины Вилен Шатворян заявил: «Мы гордимся богатым культурным и историческим наследием армян Украины, и сделаем все возможное для сохранения и популяризации исторического, архитектурного и культурного наследия»."
