,entity,id,start,end,sent_context,full_context
0,России,Q159,23,29,"Главный тренер сборной России Станислав Черчесов оценил моральное состояние нападающего «Валенсии» Дениса Черышева, который находится в эпицентре пандемии коронавируса.",6.txt
1,Станислав Черчесов,Q699557,30,48,"Главный тренер сборной России Станислав Черчесов оценил моральное состояние нападающего «Валенсии» Дениса Черышева, который находится в эпицентре пандемии коронавируса.",6.txt
2,Валенсии,Q10333,89,97,"Главный тренер сборной России Станислав Черчесов оценил моральное состояние нападающего «Валенсии» Дениса Черышева, который находится в эпицентре пандемии коронавируса.",6.txt
3,Дениса Черышева,Q246417,99,114,"Главный тренер сборной России Станислав Черчесов оценил моральное состояние нападающего «Валенсии» Дениса Черышева, который находится в эпицентре пандемии коронавируса.",6.txt
4,Дениса,Q246417,12,18,"Состояние у Дениса нормальное! По-моему, абсолютно спокоен.",6.txt
5,Черчесов,Q699557,64,72,"Его даже ругали за пробежку, показанную в инстаграме», – заявил Черчесов.",6.txt
6,Эсекьель Гарай,Q296684,11,25,"В их числе Эсекьель Гарай, Эльяким Мангаля и Хосе Гайя.",6.txt
7,Эльяким Мангаля,Q579231,27,42,"В их числе Эсекьель Гарай, Эльяким Мангаля и Хосе Гайя.",6.txt
8,Хосе Гайя,Q15396247,45,54,"В их числе Эсекьель Гарай, Эльяким Мангаля и Хосе Гайя.",6.txt
9,Валенсия,Q10333,6,14,Сама «Валенсия» занимает седьмое место в Примере.,6.txt
10,Примере,Q324867,41,48,Сама «Валенсия» занимает седьмое место в Примере.,6.txt
11,Испании,Q29,14,21,"На 26 марта в Испании заражены 49515 человек, 3647 из них скончались.",6.txt
