,entity,id,start,end,sent_context,full_context
0,Жиль Делёз,"['Q184226', 'Q184226', 'Q184226']",0,10,Жиль Делёз (фр. Gilles Deleuze;,"Жиль Делёз (фр. Gilles Deleuze; 18 января 1925 года, Париж — 4 ноября 1995 года, там же) — французский философ, представитель континентальной философии, иногда относимый к постструктурализму. Философия Делёза стоит в стороне от основных философских направлений XX века, но занимает важное место в современных дебатах об обществе, политике, творчестве и субъективности.
Вслед за академичными, хотя и необычными, работами по истории философии (о Юме, Канте, Ницше, Бергсоне) Делёз опубликовал новаторские трактаты — «Различие и повторение» (1968) и «Логика смысла» (1969), писал об искусстве, литературе, кино. Сотрудничество с психоаналитиком и анархистом Феликсом Гваттари политизировало творчество Делёза, породило наиболее известную совместную работу «Анти-Эдип» (1972).
Делёз постулировал трансцендентальность различия и его радикальную имманентность опыту, в котором есть только темпоральные изменения и становление. По Делёзу, философия должна размышлять о событиях, а не о сущностях; в его метафизике бесконечная множественность сингулярностей заменяет общее, индивидуальное, особенное и одинаковое. Понятие виртуального утверждает реальность прошлого, связь между настоящим и прошлым, настоящим и будущим. В подходе к обществу Делёз ставил на первый план социальное желание, а формирование человеческой субъективности считал случайным процессом. Вместо добра и зла в его этике присутствуют хорошее и плохое в отношениях между конкретными индивидами. Делёз выступал за автономию философии по отношению к науке и искусству, считая её главной задачей создание концептов: «Я верю в философию как систему. Для меня неприемлемо понятие системы, когда оно соотносится с Тождественностью, Подобием и Аналогией… Я ощущаю себя совершенно классическим философом. Для меня система должна быть не просто вечной разнородностью, она должна быть гетерогенезом, чего, как мне кажется, никогда не пытались достичь».
С 1990-х годов интерес к его работам растёт, хотя исследователи и критики совершенно по-разному интерпретируют и оценивают ключевые положения его философии; в англо-американской аналитической традиции работы Делёза, как правило, игнорируются. В 2007 году философ занял 12-е место в списке самых цитируемых авторов социальных и гуманитарных наук, опередив Канта, Хайдеггера, Витгенштейна и Маркса.
"
1,Париж,"['Q90', 'Q90', 'Q90']",21,26,"18 января 1925 года, Париж — 4 ноября 1995 года, там же) — французский философ, представитель континентальной философии, иногда относимый к постструктурализму.","Жиль Делёз (фр. Gilles Deleuze; 18 января 1925 года, Париж — 4 ноября 1995 года, там же) — французский философ, представитель континентальной философии, иногда относимый к постструктурализму. Философия Делёза стоит в стороне от основных философских направлений XX века, но занимает важное место в современных дебатах об обществе, политике, творчестве и субъективности.
Вслед за академичными, хотя и необычными, работами по истории философии (о Юме, Канте, Ницше, Бергсоне) Делёз опубликовал новаторские трактаты — «Различие и повторение» (1968) и «Логика смысла» (1969), писал об искусстве, литературе, кино. Сотрудничество с психоаналитиком и анархистом Феликсом Гваттари политизировало творчество Делёза, породило наиболее известную совместную работу «Анти-Эдип» (1972).
Делёз постулировал трансцендентальность различия и его радикальную имманентность опыту, в котором есть только темпоральные изменения и становление. По Делёзу, философия должна размышлять о событиях, а не о сущностях; в его метафизике бесконечная множественность сингулярностей заменяет общее, индивидуальное, особенное и одинаковое. Понятие виртуального утверждает реальность прошлого, связь между настоящим и прошлым, настоящим и будущим. В подходе к обществу Делёз ставил на первый план социальное желание, а формирование человеческой субъективности считал случайным процессом. Вместо добра и зла в его этике присутствуют хорошее и плохое в отношениях между конкретными индивидами. Делёз выступал за автономию философии по отношению к науке и искусству, считая её главной задачей создание концептов: «Я верю в философию как систему. Для меня неприемлемо понятие системы, когда оно соотносится с Тождественностью, Подобием и Аналогией… Я ощущаю себя совершенно классическим философом. Для меня система должна быть не просто вечной разнородностью, она должна быть гетерогенезом, чего, как мне кажется, никогда не пытались достичь».
С 1990-х годов интерес к его работам растёт, хотя исследователи и критики совершенно по-разному интерпретируют и оценивают ключевые положения его философии; в англо-американской аналитической традиции работы Делёза, как правило, игнорируются. В 2007 году философ занял 12-е место в списке самых цитируемых авторов социальных и гуманитарных наук, опередив Канта, Хайдеггера, Витгенштейна и Маркса.
"
2,Философия Делёза,-1,0,16,"Философия Делёза стоит в стороне от основных философских направлений XX века, но занимает важное место в современных дебатах об обществе, политике, творчестве и субъективности.","Жиль Делёз (фр. Gilles Deleuze; 18 января 1925 года, Париж — 4 ноября 1995 года, там же) — французский философ, представитель континентальной философии, иногда относимый к постструктурализму. Философия Делёза стоит в стороне от основных философских направлений XX века, но занимает важное место в современных дебатах об обществе, политике, творчестве и субъективности.
Вслед за академичными, хотя и необычными, работами по истории философии (о Юме, Канте, Ницше, Бергсоне) Делёз опубликовал новаторские трактаты — «Различие и повторение» (1968) и «Логика смысла» (1969), писал об искусстве, литературе, кино. Сотрудничество с психоаналитиком и анархистом Феликсом Гваттари политизировало творчество Делёза, породило наиболее известную совместную работу «Анти-Эдип» (1972).
Делёз постулировал трансцендентальность различия и его радикальную имманентность опыту, в котором есть только темпоральные изменения и становление. По Делёзу, философия должна размышлять о событиях, а не о сущностях; в его метафизике бесконечная множественность сингулярностей заменяет общее, индивидуальное, особенное и одинаковое. Понятие виртуального утверждает реальность прошлого, связь между настоящим и прошлым, настоящим и будущим. В подходе к обществу Делёз ставил на первый план социальное желание, а формирование человеческой субъективности считал случайным процессом. Вместо добра и зла в его этике присутствуют хорошее и плохое в отношениях между конкретными индивидами. Делёз выступал за автономию философии по отношению к науке и искусству, считая её главной задачей создание концептов: «Я верю в философию как систему. Для меня неприемлемо понятие системы, когда оно соотносится с Тождественностью, Подобием и Аналогией… Я ощущаю себя совершенно классическим философом. Для меня система должна быть не просто вечной разнородностью, она должна быть гетерогенезом, чего, как мне кажется, никогда не пытались достичь».
С 1990-х годов интерес к его работам растёт, хотя исследователи и критики совершенно по-разному интерпретируют и оценивают ключевые положения его философии; в англо-американской аналитической традиции работы Делёза, как правило, игнорируются. В 2007 году философ занял 12-е место в списке самых цитируемых авторов социальных и гуманитарных наук, опередив Канта, Хайдеггера, Витгенштейна и Маркса.
"
3,Юме,"['Q17229806', 'Q17229806', 'Q53171']",75,78,"Вслед за академичными, хотя и необычными, работами по истории философии (о Юме, Канте, Ницше, Бергсоне) Делёз опубликовал новаторские трактаты — «Различие и повторение» (1968) и «Логика смысла» (1969), писал об искусстве, литературе, кино.","Жиль Делёз (фр. Gilles Deleuze; 18 января 1925 года, Париж — 4 ноября 1995 года, там же) — французский философ, представитель континентальной философии, иногда относимый к постструктурализму. Философия Делёза стоит в стороне от основных философских направлений XX века, но занимает важное место в современных дебатах об обществе, политике, творчестве и субъективности.
Вслед за академичными, хотя и необычными, работами по истории философии (о Юме, Канте, Ницше, Бергсоне) Делёз опубликовал новаторские трактаты — «Различие и повторение» (1968) и «Логика смысла» (1969), писал об искусстве, литературе, кино. Сотрудничество с психоаналитиком и анархистом Феликсом Гваттари политизировало творчество Делёза, породило наиболее известную совместную работу «Анти-Эдип» (1972).
Делёз постулировал трансцендентальность различия и его радикальную имманентность опыту, в котором есть только темпоральные изменения и становление. По Делёзу, философия должна размышлять о событиях, а не о сущностях; в его метафизике бесконечная множественность сингулярностей заменяет общее, индивидуальное, особенное и одинаковое. Понятие виртуального утверждает реальность прошлого, связь между настоящим и прошлым, настоящим и будущим. В подходе к обществу Делёз ставил на первый план социальное желание, а формирование человеческой субъективности считал случайным процессом. Вместо добра и зла в его этике присутствуют хорошее и плохое в отношениях между конкретными индивидами. Делёз выступал за автономию философии по отношению к науке и искусству, считая её главной задачей создание концептов: «Я верю в философию как систему. Для меня неприемлемо понятие системы, когда оно соотносится с Тождественностью, Подобием и Аналогией… Я ощущаю себя совершенно классическим философом. Для меня система должна быть не просто вечной разнородностью, она должна быть гетерогенезом, чего, как мне кажется, никогда не пытались достичь».
С 1990-х годов интерес к его работам растёт, хотя исследователи и критики совершенно по-разному интерпретируют и оценивают ключевые положения его философии; в англо-американской аналитической традиции работы Делёза, как правило, игнорируются. В 2007 году философ занял 12-е место в списке самых цитируемых авторов социальных и гуманитарных наук, опередив Канта, Хайдеггера, Витгенштейна и Маркса.
"
4,Канте,"['Q1084001', 'Q1084001', 'Q16665941']",80,85,"Вслед за академичными, хотя и необычными, работами по истории философии (о Юме, Канте, Ницше, Бергсоне) Делёз опубликовал новаторские трактаты — «Различие и повторение» (1968) и «Логика смысла» (1969), писал об искусстве, литературе, кино.","Жиль Делёз (фр. Gilles Deleuze; 18 января 1925 года, Париж — 4 ноября 1995 года, там же) — французский философ, представитель континентальной философии, иногда относимый к постструктурализму. Философия Делёза стоит в стороне от основных философских направлений XX века, но занимает важное место в современных дебатах об обществе, политике, творчестве и субъективности.
Вслед за академичными, хотя и необычными, работами по истории философии (о Юме, Канте, Ницше, Бергсоне) Делёз опубликовал новаторские трактаты — «Различие и повторение» (1968) и «Логика смысла» (1969), писал об искусстве, литературе, кино. Сотрудничество с психоаналитиком и анархистом Феликсом Гваттари политизировало творчество Делёза, породило наиболее известную совместную работу «Анти-Эдип» (1972).
Делёз постулировал трансцендентальность различия и его радикальную имманентность опыту, в котором есть только темпоральные изменения и становление. По Делёзу, философия должна размышлять о событиях, а не о сущностях; в его метафизике бесконечная множественность сингулярностей заменяет общее, индивидуальное, особенное и одинаковое. Понятие виртуального утверждает реальность прошлого, связь между настоящим и прошлым, настоящим и будущим. В подходе к обществу Делёз ставил на первый план социальное желание, а формирование человеческой субъективности считал случайным процессом. Вместо добра и зла в его этике присутствуют хорошее и плохое в отношениях между конкретными индивидами. Делёз выступал за автономию философии по отношению к науке и искусству, считая её главной задачей создание концептов: «Я верю в философию как систему. Для меня неприемлемо понятие системы, когда оно соотносится с Тождественностью, Подобием и Аналогией… Я ощущаю себя совершенно классическим философом. Для меня система должна быть не просто вечной разнородностью, она должна быть гетерогенезом, чего, как мне кажется, никогда не пытались достичь».
С 1990-х годов интерес к его работам растёт, хотя исследователи и критики совершенно по-разному интерпретируют и оценивают ключевые положения его философии; в англо-американской аналитической традиции работы Делёза, как правило, игнорируются. В 2007 году философ занял 12-е место в списке самых цитируемых авторов социальных и гуманитарных наук, опередив Канта, Хайдеггера, Витгенштейна и Маркса.
"
5,Ницше,"['Q9358', 'Q9358', 'Q9358']",87,92,"Вслед за академичными, хотя и необычными, работами по истории философии (о Юме, Канте, Ницше, Бергсоне) Делёз опубликовал новаторские трактаты — «Различие и повторение» (1968) и «Логика смысла» (1969), писал об искусстве, литературе, кино.","Жиль Делёз (фр. Gilles Deleuze; 18 января 1925 года, Париж — 4 ноября 1995 года, там же) — французский философ, представитель континентальной философии, иногда относимый к постструктурализму. Философия Делёза стоит в стороне от основных философских направлений XX века, но занимает важное место в современных дебатах об обществе, политике, творчестве и субъективности.
Вслед за академичными, хотя и необычными, работами по истории философии (о Юме, Канте, Ницше, Бергсоне) Делёз опубликовал новаторские трактаты — «Различие и повторение» (1968) и «Логика смысла» (1969), писал об искусстве, литературе, кино. Сотрудничество с психоаналитиком и анархистом Феликсом Гваттари политизировало творчество Делёза, породило наиболее известную совместную работу «Анти-Эдип» (1972).
Делёз постулировал трансцендентальность различия и его радикальную имманентность опыту, в котором есть только темпоральные изменения и становление. По Делёзу, философия должна размышлять о событиях, а не о сущностях; в его метафизике бесконечная множественность сингулярностей заменяет общее, индивидуальное, особенное и одинаковое. Понятие виртуального утверждает реальность прошлого, связь между настоящим и прошлым, настоящим и будущим. В подходе к обществу Делёз ставил на первый план социальное желание, а формирование человеческой субъективности считал случайным процессом. Вместо добра и зла в его этике присутствуют хорошее и плохое в отношениях между конкретными индивидами. Делёз выступал за автономию философии по отношению к науке и искусству, считая её главной задачей создание концептов: «Я верю в философию как систему. Для меня неприемлемо понятие системы, когда оно соотносится с Тождественностью, Подобием и Аналогией… Я ощущаю себя совершенно классическим философом. Для меня система должна быть не просто вечной разнородностью, она должна быть гетерогенезом, чего, как мне кажется, никогда не пытались достичь».
С 1990-х годов интерес к его работам растёт, хотя исследователи и критики совершенно по-разному интерпретируют и оценивают ключевые положения его философии; в англо-американской аналитической традиции работы Делёза, как правило, игнорируются. В 2007 году философ занял 12-е место в списке самых цитируемых авторов социальных и гуманитарных наук, опередив Канта, Хайдеггера, Витгенштейна и Маркса.
"
6,Бергсоне) Делёз,-1,94,109,"Вслед за академичными, хотя и необычными, работами по истории философии (о Юме, Канте, Ницше, Бергсоне) Делёз опубликовал новаторские трактаты — «Различие и повторение» (1968) и «Логика смысла» (1969), писал об искусстве, литературе, кино.","Жиль Делёз (фр. Gilles Deleuze; 18 января 1925 года, Париж — 4 ноября 1995 года, там же) — французский философ, представитель континентальной философии, иногда относимый к постструктурализму. Философия Делёза стоит в стороне от основных философских направлений XX века, но занимает важное место в современных дебатах об обществе, политике, творчестве и субъективности.
Вслед за академичными, хотя и необычными, работами по истории философии (о Юме, Канте, Ницше, Бергсоне) Делёз опубликовал новаторские трактаты — «Различие и повторение» (1968) и «Логика смысла» (1969), писал об искусстве, литературе, кино. Сотрудничество с психоаналитиком и анархистом Феликсом Гваттари политизировало творчество Делёза, породило наиболее известную совместную работу «Анти-Эдип» (1972).
Делёз постулировал трансцендентальность различия и его радикальную имманентность опыту, в котором есть только темпоральные изменения и становление. По Делёзу, философия должна размышлять о событиях, а не о сущностях; в его метафизике бесконечная множественность сингулярностей заменяет общее, индивидуальное, особенное и одинаковое. Понятие виртуального утверждает реальность прошлого, связь между настоящим и прошлым, настоящим и будущим. В подходе к обществу Делёз ставил на первый план социальное желание, а формирование человеческой субъективности считал случайным процессом. Вместо добра и зла в его этике присутствуют хорошее и плохое в отношениях между конкретными индивидами. Делёз выступал за автономию философии по отношению к науке и искусству, считая её главной задачей создание концептов: «Я верю в философию как систему. Для меня неприемлемо понятие системы, когда оно соотносится с Тождественностью, Подобием и Аналогией… Я ощущаю себя совершенно классическим философом. Для меня система должна быть не просто вечной разнородностью, она должна быть гетерогенезом, чего, как мне кажется, никогда не пытались достичь».
С 1990-х годов интерес к его работам растёт, хотя исследователи и критики совершенно по-разному интерпретируют и оценивают ключевые положения его философии; в англо-американской аналитической традиции работы Делёза, как правило, игнорируются. В 2007 году философ занял 12-е место в списке самых цитируемых авторов социальных и гуманитарных наук, опередив Канта, Хайдеггера, Витгенштейна и Маркса.
"
7,Феликсом Гваттари,"['Q352465', 'Q352465', 'Q352465']",46,63,"Сотрудничество с психоаналитиком и анархистом Феликсом Гваттари политизировало творчество Делёза, породило наиболее известную совместную работу «Анти-Эдип» (1972).","Жиль Делёз (фр. Gilles Deleuze; 18 января 1925 года, Париж — 4 ноября 1995 года, там же) — французский философ, представитель континентальной философии, иногда относимый к постструктурализму. Философия Делёза стоит в стороне от основных философских направлений XX века, но занимает важное место в современных дебатах об обществе, политике, творчестве и субъективности.
Вслед за академичными, хотя и необычными, работами по истории философии (о Юме, Канте, Ницше, Бергсоне) Делёз опубликовал новаторские трактаты — «Различие и повторение» (1968) и «Логика смысла» (1969), писал об искусстве, литературе, кино. Сотрудничество с психоаналитиком и анархистом Феликсом Гваттари политизировало творчество Делёза, породило наиболее известную совместную работу «Анти-Эдип» (1972).
Делёз постулировал трансцендентальность различия и его радикальную имманентность опыту, в котором есть только темпоральные изменения и становление. По Делёзу, философия должна размышлять о событиях, а не о сущностях; в его метафизике бесконечная множественность сингулярностей заменяет общее, индивидуальное, особенное и одинаковое. Понятие виртуального утверждает реальность прошлого, связь между настоящим и прошлым, настоящим и будущим. В подходе к обществу Делёз ставил на первый план социальное желание, а формирование человеческой субъективности считал случайным процессом. Вместо добра и зла в его этике присутствуют хорошее и плохое в отношениях между конкретными индивидами. Делёз выступал за автономию философии по отношению к науке и искусству, считая её главной задачей создание концептов: «Я верю в философию как систему. Для меня неприемлемо понятие системы, когда оно соотносится с Тождественностью, Подобием и Аналогией… Я ощущаю себя совершенно классическим философом. Для меня система должна быть не просто вечной разнородностью, она должна быть гетерогенезом, чего, как мне кажется, никогда не пытались достичь».
С 1990-х годов интерес к его работам растёт, хотя исследователи и критики совершенно по-разному интерпретируют и оценивают ключевые положения его философии; в англо-американской аналитической традиции работы Делёза, как правило, игнорируются. В 2007 году философ занял 12-е место в списке самых цитируемых авторов социальных и гуманитарных наук, опередив Канта, Хайдеггера, Витгенштейна и Маркса.
"
8,Делёза,"['Q22093565', 'Q22093565']",90,96,"Сотрудничество с психоаналитиком и анархистом Феликсом Гваттари политизировало творчество Делёза, породило наиболее известную совместную работу «Анти-Эдип» (1972).","Жиль Делёз (фр. Gilles Deleuze; 18 января 1925 года, Париж — 4 ноября 1995 года, там же) — французский философ, представитель континентальной философии, иногда относимый к постструктурализму. Философия Делёза стоит в стороне от основных философских направлений XX века, но занимает важное место в современных дебатах об обществе, политике, творчестве и субъективности.
Вслед за академичными, хотя и необычными, работами по истории философии (о Юме, Канте, Ницше, Бергсоне) Делёз опубликовал новаторские трактаты — «Различие и повторение» (1968) и «Логика смысла» (1969), писал об искусстве, литературе, кино. Сотрудничество с психоаналитиком и анархистом Феликсом Гваттари политизировало творчество Делёза, породило наиболее известную совместную работу «Анти-Эдип» (1972).
Делёз постулировал трансцендентальность различия и его радикальную имманентность опыту, в котором есть только темпоральные изменения и становление. По Делёзу, философия должна размышлять о событиях, а не о сущностях; в его метафизике бесконечная множественность сингулярностей заменяет общее, индивидуальное, особенное и одинаковое. Понятие виртуального утверждает реальность прошлого, связь между настоящим и прошлым, настоящим и будущим. В подходе к обществу Делёз ставил на первый план социальное желание, а формирование человеческой субъективности считал случайным процессом. Вместо добра и зла в его этике присутствуют хорошее и плохое в отношениях между конкретными индивидами. Делёз выступал за автономию философии по отношению к науке и искусству, считая её главной задачей создание концептов: «Я верю в философию как систему. Для меня неприемлемо понятие системы, когда оно соотносится с Тождественностью, Подобием и Аналогией… Я ощущаю себя совершенно классическим философом. Для меня система должна быть не просто вечной разнородностью, она должна быть гетерогенезом, чего, как мне кажется, никогда не пытались достичь».
С 1990-х годов интерес к его работам растёт, хотя исследователи и критики совершенно по-разному интерпретируют и оценивают ключевые положения его философии; в англо-американской аналитической традиции работы Делёза, как правило, игнорируются. В 2007 году философ занял 12-е место в списке самых цитируемых авторов социальных и гуманитарных наук, опередив Канта, Хайдеггера, Витгенштейна и Маркса.
"
9,Анти-Эдип,"['Q1235943', 'Q1235943']",145,154,"Сотрудничество с психоаналитиком и анархистом Феликсом Гваттари политизировало творчество Делёза, породило наиболее известную совместную работу «Анти-Эдип» (1972).","Жиль Делёз (фр. Gilles Deleuze; 18 января 1925 года, Париж — 4 ноября 1995 года, там же) — французский философ, представитель континентальной философии, иногда относимый к постструктурализму. Философия Делёза стоит в стороне от основных философских направлений XX века, но занимает важное место в современных дебатах об обществе, политике, творчестве и субъективности.
Вслед за академичными, хотя и необычными, работами по истории философии (о Юме, Канте, Ницше, Бергсоне) Делёз опубликовал новаторские трактаты — «Различие и повторение» (1968) и «Логика смысла» (1969), писал об искусстве, литературе, кино. Сотрудничество с психоаналитиком и анархистом Феликсом Гваттари политизировало творчество Делёза, породило наиболее известную совместную работу «Анти-Эдип» (1972).
Делёз постулировал трансцендентальность различия и его радикальную имманентность опыту, в котором есть только темпоральные изменения и становление. По Делёзу, философия должна размышлять о событиях, а не о сущностях; в его метафизике бесконечная множественность сингулярностей заменяет общее, индивидуальное, особенное и одинаковое. Понятие виртуального утверждает реальность прошлого, связь между настоящим и прошлым, настоящим и будущим. В подходе к обществу Делёз ставил на первый план социальное желание, а формирование человеческой субъективности считал случайным процессом. Вместо добра и зла в его этике присутствуют хорошее и плохое в отношениях между конкретными индивидами. Делёз выступал за автономию философии по отношению к науке и искусству, считая её главной задачей создание концептов: «Я верю в философию как систему. Для меня неприемлемо понятие системы, когда оно соотносится с Тождественностью, Подобием и Аналогией… Я ощущаю себя совершенно классическим философом. Для меня система должна быть не просто вечной разнородностью, она должна быть гетерогенезом, чего, как мне кажется, никогда не пытались достичь».
С 1990-х годов интерес к его работам растёт, хотя исследователи и критики совершенно по-разному интерпретируют и оценивают ключевые положения его философии; в англо-американской аналитической традиции работы Делёза, как правило, игнорируются. В 2007 году философ занял 12-е место в списке самых цитируемых авторов социальных и гуманитарных наук, опередив Канта, Хайдеггера, Витгенштейна и Маркса.
"
