,entity,id,start,end,sent_context,full_context
0,России,Q41044,23,29,"Главный тренер сборной России Станислав Черчесов оценил моральное состояние нападающего «Валенсии» Дениса Черышева, который находится в эпицентре пандемии коронавируса","Главный тренер сборной России Станислав Черчесов оценил моральное состояние нападающего «Валенсии» Дениса Черышева, который находится в эпицентре пандемии коронавируса. «Разговаривал с ним по видеосвязи. Состояние у Дениса нормальное! По-моему, абсолютно спокоен. Тренируется. Его даже ругали за пробежку, показанную в инстаграме», – заявил Черчесов. Ранее сообщалось о том, что пятеро одноклубников россиянина заразились коронавирусом. В их числе Эсекьель Гарай, Эльяким Мангаля и Хосе Гайя. Сама «Валенсия» занимает седьмое место в Примере. На 26 марта в Испании заражены 49515 человек, 3647 из них скончались. Все новости о коронавирусе в спорте, заболевших спортсменах, отменах матчей и турниров можно узнать в нашем специальном разделе."
1,Станислав Черчесов,Q699557,30,48,"Главный тренер сборной России Станислав Черчесов оценил моральное состояние нападающего «Валенсии» Дениса Черышева, который находится в эпицентре пандемии коронавируса","Главный тренер сборной России Станислав Черчесов оценил моральное состояние нападающего «Валенсии» Дениса Черышева, который находится в эпицентре пандемии коронавируса. «Разговаривал с ним по видеосвязи. Состояние у Дениса нормальное! По-моему, абсолютно спокоен. Тренируется. Его даже ругали за пробежку, показанную в инстаграме», – заявил Черчесов. Ранее сообщалось о том, что пятеро одноклубников россиянина заразились коронавирусом. В их числе Эсекьель Гарай, Эльяким Мангаля и Хосе Гайя. Сама «Валенсия» занимает седьмое место в Примере. На 26 марта в Испании заражены 49515 человек, 3647 из них скончались. Все новости о коронавирусе в спорте, заболевших спортсменах, отменах матчей и турниров можно узнать в нашем специальном разделе."
2,Валенсии,Q10333,89,97,"Главный тренер сборной России Станислав Черчесов оценил моральное состояние нападающего «Валенсии» Дениса Черышева, который находится в эпицентре пандемии коронавируса","Главный тренер сборной России Станислав Черчесов оценил моральное состояние нападающего «Валенсии» Дениса Черышева, который находится в эпицентре пандемии коронавируса. «Разговаривал с ним по видеосвязи. Состояние у Дениса нормальное! По-моему, абсолютно спокоен. Тренируется. Его даже ругали за пробежку, показанную в инстаграме», – заявил Черчесов. Ранее сообщалось о том, что пятеро одноклубников россиянина заразились коронавирусом. В их числе Эсекьель Гарай, Эльяким Мангаля и Хосе Гайя. Сама «Валенсия» занимает седьмое место в Примере. На 26 марта в Испании заражены 49515 человек, 3647 из них скончались. Все новости о коронавирусе в спорте, заболевших спортсменах, отменах матчей и турниров можно узнать в нашем специальном разделе."
3,Дениса Черышева,Q246417,99,114,"Главный тренер сборной России Станислав Черчесов оценил моральное состояние нападающего «Валенсии» Дениса Черышева, который находится в эпицентре пандемии коронавируса","Главный тренер сборной России Станислав Черчесов оценил моральное состояние нападающего «Валенсии» Дениса Черышева, который находится в эпицентре пандемии коронавируса. «Разговаривал с ним по видеосвязи. Состояние у Дениса нормальное! По-моему, абсолютно спокоен. Тренируется. Его даже ругали за пробежку, показанную в инстаграме», – заявил Черчесов. Ранее сообщалось о том, что пятеро одноклубников россиянина заразились коронавирусом. В их числе Эсекьель Гарай, Эльяким Мангаля и Хосе Гайя. Сама «Валенсия» занимает седьмое место в Примере. На 26 марта в Испании заражены 49515 человек, 3647 из них скончались. Все новости о коронавирусе в спорте, заболевших спортсменах, отменах матчей и турниров можно узнать в нашем специальном разделе."
4,Дениса,Q35146979,12,18,"Состояние у Дениса нормальное! По-моему, абсолютно спокоен","Главный тренер сборной России Станислав Черчесов оценил моральное состояние нападающего «Валенсии» Дениса Черышева, который находится в эпицентре пандемии коронавируса. «Разговаривал с ним по видеосвязи. Состояние у Дениса нормальное! По-моему, абсолютно спокоен. Тренируется. Его даже ругали за пробежку, показанную в инстаграме», – заявил Черчесов. Ранее сообщалось о том, что пятеро одноклубников россиянина заразились коронавирусом. В их числе Эсекьель Гарай, Эльяким Мангаля и Хосе Гайя. Сама «Валенсия» занимает седьмое место в Примере. На 26 марта в Испании заражены 49515 человек, 3647 из них скончались. Все новости о коронавирусе в спорте, заболевших спортсменах, отменах матчей и турниров можно узнать в нашем специальном разделе."
5,Черчесов,Q699557,64,72,"Его даже ругали за пробежку, показанную в инстаграме», – заявил Черчесов","Главный тренер сборной России Станислав Черчесов оценил моральное состояние нападающего «Валенсии» Дениса Черышева, который находится в эпицентре пандемии коронавируса. «Разговаривал с ним по видеосвязи. Состояние у Дениса нормальное! По-моему, абсолютно спокоен. Тренируется. Его даже ругали за пробежку, показанную в инстаграме», – заявил Черчесов. Ранее сообщалось о том, что пятеро одноклубников россиянина заразились коронавирусом. В их числе Эсекьель Гарай, Эльяким Мангаля и Хосе Гайя. Сама «Валенсия» занимает седьмое место в Примере. На 26 марта в Испании заражены 49515 человек, 3647 из них скончались. Все новости о коронавирусе в спорте, заболевших спортсменах, отменах матчей и турниров можно узнать в нашем специальном разделе."
6,Эсекьель Гарай,Q296684,11,25,"В их числе Эсекьель Гарай, Эльяким Мангаля и Хосе Гайя","Главный тренер сборной России Станислав Черчесов оценил моральное состояние нападающего «Валенсии» Дениса Черышева, который находится в эпицентре пандемии коронавируса. «Разговаривал с ним по видеосвязи. Состояние у Дениса нормальное! По-моему, абсолютно спокоен. Тренируется. Его даже ругали за пробежку, показанную в инстаграме», – заявил Черчесов. Ранее сообщалось о том, что пятеро одноклубников россиянина заразились коронавирусом. В их числе Эсекьель Гарай, Эльяким Мангаля и Хосе Гайя. Сама «Валенсия» занимает седьмое место в Примере. На 26 марта в Испании заражены 49515 человек, 3647 из них скончались. Все новости о коронавирусе в спорте, заболевших спортсменах, отменах матчей и турниров можно узнать в нашем специальном разделе."
7,Эльяким Мангаля,-1,27,42,"В их числе Эсекьель Гарай, Эльяким Мангаля и Хосе Гайя","Главный тренер сборной России Станислав Черчесов оценил моральное состояние нападающего «Валенсии» Дениса Черышева, который находится в эпицентре пандемии коронавируса. «Разговаривал с ним по видеосвязи. Состояние у Дениса нормальное! По-моему, абсолютно спокоен. Тренируется. Его даже ругали за пробежку, показанную в инстаграме», – заявил Черчесов. Ранее сообщалось о том, что пятеро одноклубников россиянина заразились коронавирусом. В их числе Эсекьель Гарай, Эльяким Мангаля и Хосе Гайя. Сама «Валенсия» занимает седьмое место в Примере. На 26 марта в Испании заражены 49515 человек, 3647 из них скончались. Все новости о коронавирусе в спорте, заболевших спортсменах, отменах матчей и турниров можно узнать в нашем специальном разделе."
8,Хосе Гайя,Q15396247,45,54,"В их числе Эсекьель Гарай, Эльяким Мангаля и Хосе Гайя","Главный тренер сборной России Станислав Черчесов оценил моральное состояние нападающего «Валенсии» Дениса Черышева, который находится в эпицентре пандемии коронавируса. «Разговаривал с ним по видеосвязи. Состояние у Дениса нормальное! По-моему, абсолютно спокоен. Тренируется. Его даже ругали за пробежку, показанную в инстаграме», – заявил Черчесов. Ранее сообщалось о том, что пятеро одноклубников россиянина заразились коронавирусом. В их числе Эсекьель Гарай, Эльяким Мангаля и Хосе Гайя. Сама «Валенсия» занимает седьмое место в Примере. На 26 марта в Испании заражены 49515 человек, 3647 из них скончались. Все новости о коронавирусе в спорте, заболевших спортсменах, отменах матчей и турниров можно узнать в нашем специальном разделе."
9,Валенсия,-1,6,14,Сама «Валенсия» занимает седьмое место в Примере,"Главный тренер сборной России Станислав Черчесов оценил моральное состояние нападающего «Валенсии» Дениса Черышева, который находится в эпицентре пандемии коронавируса. «Разговаривал с ним по видеосвязи. Состояние у Дениса нормальное! По-моему, абсолютно спокоен. Тренируется. Его даже ругали за пробежку, показанную в инстаграме», – заявил Черчесов. Ранее сообщалось о том, что пятеро одноклубников россиянина заразились коронавирусом. В их числе Эсекьель Гарай, Эльяким Мангаля и Хосе Гайя. Сама «Валенсия» занимает седьмое место в Примере. На 26 марта в Испании заражены 49515 человек, 3647 из них скончались. Все новости о коронавирусе в спорте, заболевших спортсменах, отменах матчей и турниров можно узнать в нашем специальном разделе."
