,entity,id,start,end,sent_context,full_context
0,Армянская община,Q98989696,0,16,Армянская община Франции потребовала от экс-министра культуры страны Жака Ланга разъяснить свою позицию по вопросу признания Геноцида армян,"Армянская община Франции потребовала от экс-министра культуры страны Жака Ланга разъяснить свою позицию по вопросу признания Геноцида армян. Как сообщил PanARMENIAN.Net французский журналист Жан Экиян, в 2008 году на конференции, организованной ассоциацией Liberte pour l'Histoire, был показан видеоматериал, который вызвал серьезное беспокойство среди армянской общины Франции. Жак Ланг, который является одним из первых защитников закона о признании Геноцида армян, в показанном материале отказался от своей позиции: “Я проголосовал за принятие законопроекта о криминализации Геноцида армян в Национальном собрании Франции 12 октября 2007 года, потому что это было мне нужно во время предвыборной кампании», - сказал Ланг. Президент Ассоциации армянских организаций Франции (CCAF) Алексис Говчян направил открытое письмо экс-министру, в котором выразил возмущение его новой позицией в отношении признания Геноцида армян. «Очень печально, что эта нечестная кампания и возмущение направлено против меня. Я не собираюсь вступать с кем-либо в полемику или же выслушивать нравоучения от кого-либо. Я буду продолжать работать над тем, чтобы Геноцид армян был признан во всем мире и, особенно, в Турции», - сказал Ланг в интервью AFP."
1,Франции,Q170972,17,24,Армянская община Франции потребовала от экс-министра культуры страны Жака Ланга разъяснить свою позицию по вопросу признания Геноцида армян,"Армянская община Франции потребовала от экс-министра культуры страны Жака Ланга разъяснить свою позицию по вопросу признания Геноцида армян. Как сообщил PanARMENIAN.Net французский журналист Жан Экиян, в 2008 году на конференции, организованной ассоциацией Liberte pour l'Histoire, был показан видеоматериал, который вызвал серьезное беспокойство среди армянской общины Франции. Жак Ланг, который является одним из первых защитников закона о признании Геноцида армян, в показанном материале отказался от своей позиции: “Я проголосовал за принятие законопроекта о криминализации Геноцида армян в Национальном собрании Франции 12 октября 2007 года, потому что это было мне нужно во время предвыборной кампании», - сказал Ланг. Президент Ассоциации армянских организаций Франции (CCAF) Алексис Говчян направил открытое письмо экс-министру, в котором выразил возмущение его новой позицией в отношении признания Геноцида армян. «Очень печально, что эта нечестная кампания и возмущение направлено против меня. Я не собираюсь вступать с кем-либо в полемику или же выслушивать нравоучения от кого-либо. Я буду продолжать работать над тем, чтобы Геноцид армян был признан во всем мире и, особенно, в Турции», - сказал Ланг в интервью AFP."
2,Жака Ланга,-1,69,79,Армянская община Франции потребовала от экс-министра культуры страны Жака Ланга разъяснить свою позицию по вопросу признания Геноцида армян,"Армянская община Франции потребовала от экс-министра культуры страны Жака Ланга разъяснить свою позицию по вопросу признания Геноцида армян. Как сообщил PanARMENIAN.Net французский журналист Жан Экиян, в 2008 году на конференции, организованной ассоциацией Liberte pour l'Histoire, был показан видеоматериал, который вызвал серьезное беспокойство среди армянской общины Франции. Жак Ланг, который является одним из первых защитников закона о признании Геноцида армян, в показанном материале отказался от своей позиции: “Я проголосовал за принятие законопроекта о криминализации Геноцида армян в Национальном собрании Франции 12 октября 2007 года, потому что это было мне нужно во время предвыборной кампании», - сказал Ланг. Президент Ассоциации армянских организаций Франции (CCAF) Алексис Говчян направил открытое письмо экс-министру, в котором выразил возмущение его новой позицией в отношении признания Геноцида армян. «Очень печально, что эта нечестная кампания и возмущение направлено против меня. Я не собираюсь вступать с кем-либо в полемику или же выслушивать нравоучения от кого-либо. Я буду продолжать работать над тем, чтобы Геноцид армян был признан во всем мире и, особенно, в Турции», - сказал Ланг в интервью AFP."
3,PanARMENIAN.Net,Q18122209,12,27,"Как сообщил PanARMENIAN.Net французский журналист Жан Экиян, в 2008 году на конференции, организованной ассоциацией Liberte pour l'Histoire, был показан видеоматериал, который вызвал серьезное беспокойство среди армянской общины Франции","Армянская община Франции потребовала от экс-министра культуры страны Жака Ланга разъяснить свою позицию по вопросу признания Геноцида армян. Как сообщил PanARMENIAN.Net французский журналист Жан Экиян, в 2008 году на конференции, организованной ассоциацией Liberte pour l'Histoire, был показан видеоматериал, который вызвал серьезное беспокойство среди армянской общины Франции. Жак Ланг, который является одним из первых защитников закона о признании Геноцида армян, в показанном материале отказался от своей позиции: “Я проголосовал за принятие законопроекта о криминализации Геноцида армян в Национальном собрании Франции 12 октября 2007 года, потому что это было мне нужно во время предвыборной кампании», - сказал Ланг. Президент Ассоциации армянских организаций Франции (CCAF) Алексис Говчян направил открытое письмо экс-министру, в котором выразил возмущение его новой позицией в отношении признания Геноцида армян. «Очень печально, что эта нечестная кампания и возмущение направлено против меня. Я не собираюсь вступать с кем-либо в полемику или же выслушивать нравоучения от кого-либо. Я буду продолжать работать над тем, чтобы Геноцид армян был признан во всем мире и, особенно, в Турции», - сказал Ланг в интервью AFP."
4,Жан Экиян,Q99047006,50,59,"Как сообщил PanARMENIAN.Net французский журналист Жан Экиян, в 2008 году на конференции, организованной ассоциацией Liberte pour l'Histoire, был показан видеоматериал, который вызвал серьезное беспокойство среди армянской общины Франции","Армянская община Франции потребовала от экс-министра культуры страны Жака Ланга разъяснить свою позицию по вопросу признания Геноцида армян. Как сообщил PanARMENIAN.Net французский журналист Жан Экиян, в 2008 году на конференции, организованной ассоциацией Liberte pour l'Histoire, был показан видеоматериал, который вызвал серьезное беспокойство среди армянской общины Франции. Жак Ланг, который является одним из первых защитников закона о признании Геноцида армян, в показанном материале отказался от своей позиции: “Я проголосовал за принятие законопроекта о криминализации Геноцида армян в Национальном собрании Франции 12 октября 2007 года, потому что это было мне нужно во время предвыборной кампании», - сказал Ланг. Президент Ассоциации армянских организаций Франции (CCAF) Алексис Говчян направил открытое письмо экс-министру, в котором выразил возмущение его новой позицией в отношении признания Геноцида армян. «Очень печально, что эта нечестная кампания и возмущение направлено против меня. Я не собираюсь вступать с кем-либо в полемику или же выслушивать нравоучения от кого-либо. Я буду продолжать работать над тем, чтобы Геноцид армян был признан во всем мире и, особенно, в Турции», - сказал Ланг в интервью AFP."
5,Liberte pour l'Histoire,-1,116,139,"Как сообщил PanARMENIAN.Net французский журналист Жан Экиян, в 2008 году на конференции, организованной ассоциацией Liberte pour l'Histoire, был показан видеоматериал, который вызвал серьезное беспокойство среди армянской общины Франции","Армянская община Франции потребовала от экс-министра культуры страны Жака Ланга разъяснить свою позицию по вопросу признания Геноцида армян. Как сообщил PanARMENIAN.Net французский журналист Жан Экиян, в 2008 году на конференции, организованной ассоциацией Liberte pour l'Histoire, был показан видеоматериал, который вызвал серьезное беспокойство среди армянской общины Франции. Жак Ланг, который является одним из первых защитников закона о признании Геноцида армян, в показанном материале отказался от своей позиции: “Я проголосовал за принятие законопроекта о криминализации Геноцида армян в Национальном собрании Франции 12 октября 2007 года, потому что это было мне нужно во время предвыборной кампании», - сказал Ланг. Президент Ассоциации армянских организаций Франции (CCAF) Алексис Говчян направил открытое письмо экс-министру, в котором выразил возмущение его новой позицией в отношении признания Геноцида армян. «Очень печально, что эта нечестная кампания и возмущение направлено против меня. Я не собираюсь вступать с кем-либо в полемику или же выслушивать нравоучения от кого-либо. Я буду продолжать работать над тем, чтобы Геноцид армян был признан во всем мире и, особенно, в Турции», - сказал Ланг в интервью AFP."
6,Франции,Q170972,229,236,"Как сообщил PanARMENIAN.Net французский журналист Жан Экиян, в 2008 году на конференции, организованной ассоциацией Liberte pour l'Histoire, был показан видеоматериал, который вызвал серьезное беспокойство среди армянской общины Франции","Армянская община Франции потребовала от экс-министра культуры страны Жака Ланга разъяснить свою позицию по вопросу признания Геноцида армян. Как сообщил PanARMENIAN.Net французский журналист Жан Экиян, в 2008 году на конференции, организованной ассоциацией Liberte pour l'Histoire, был показан видеоматериал, который вызвал серьезное беспокойство среди армянской общины Франции. Жак Ланг, который является одним из первых защитников закона о признании Геноцида армян, в показанном материале отказался от своей позиции: “Я проголосовал за принятие законопроекта о криминализации Геноцида армян в Национальном собрании Франции 12 октября 2007 года, потому что это было мне нужно во время предвыборной кампании», - сказал Ланг. Президент Ассоциации армянских организаций Франции (CCAF) Алексис Говчян направил открытое письмо экс-министру, в котором выразил возмущение его новой позицией в отношении признания Геноцида армян. «Очень печально, что эта нечестная кампания и возмущение направлено против меня. Я не собираюсь вступать с кем-либо в полемику или же выслушивать нравоучения от кого-либо. Я буду продолжать работать над тем, чтобы Геноцид армян был признан во всем мире и, особенно, в Турции», - сказал Ланг в интервью AFP."
7,Жак Ланг,-1,0,8,"Жак Ланг, который является одним из первых защитников закона о признании Геноцида армян, в показанном материале отказался от своей позиции: “Я проголосовал за принятие законопроекта о криминализации Геноцида армян в Национальном собрании Франции 12 октября 2007 года, потому что это было мне нужно во время предвыборной кампании», - сказал Ланг","Армянская община Франции потребовала от экс-министра культуры страны Жака Ланга разъяснить свою позицию по вопросу признания Геноцида армян. Как сообщил PanARMENIAN.Net французский журналист Жан Экиян, в 2008 году на конференции, организованной ассоциацией Liberte pour l'Histoire, был показан видеоматериал, который вызвал серьезное беспокойство среди армянской общины Франции. Жак Ланг, который является одним из первых защитников закона о признании Геноцида армян, в показанном материале отказался от своей позиции: “Я проголосовал за принятие законопроекта о криминализации Геноцида армян в Национальном собрании Франции 12 октября 2007 года, потому что это было мне нужно во время предвыборной кампании», - сказал Ланг. Президент Ассоциации армянских организаций Франции (CCAF) Алексис Говчян направил открытое письмо экс-министру, в котором выразил возмущение его новой позицией в отношении признания Геноцида армян. «Очень печально, что эта нечестная кампания и возмущение направлено против меня. Я не собираюсь вступать с кем-либо в полемику или же выслушивать нравоучения от кого-либо. Я буду продолжать работать над тем, чтобы Геноцид армян был признан во всем мире и, особенно, в Турции», - сказал Ланг в интервью AFP."
8,Национальном собрании,-1,216,237,"Жак Ланг, который является одним из первых защитников закона о признании Геноцида армян, в показанном материале отказался от своей позиции: “Я проголосовал за принятие законопроекта о криминализации Геноцида армян в Национальном собрании Франции 12 октября 2007 года, потому что это было мне нужно во время предвыборной кампании», - сказал Ланг","Армянская община Франции потребовала от экс-министра культуры страны Жака Ланга разъяснить свою позицию по вопросу признания Геноцида армян. Как сообщил PanARMENIAN.Net французский журналист Жан Экиян, в 2008 году на конференции, организованной ассоциацией Liberte pour l'Histoire, был показан видеоматериал, который вызвал серьезное беспокойство среди армянской общины Франции. Жак Ланг, который является одним из первых защитников закона о признании Геноцида армян, в показанном материале отказался от своей позиции: “Я проголосовал за принятие законопроекта о криминализации Геноцида армян в Национальном собрании Франции 12 октября 2007 года, потому что это было мне нужно во время предвыборной кампании», - сказал Ланг. Президент Ассоциации армянских организаций Франции (CCAF) Алексис Говчян направил открытое письмо экс-министру, в котором выразил возмущение его новой позицией в отношении признания Геноцида армян. «Очень печально, что эта нечестная кампания и возмущение направлено против меня. Я не собираюсь вступать с кем-либо в полемику или же выслушивать нравоучения от кого-либо. Я буду продолжать работать над тем, чтобы Геноцид армян был признан во всем мире и, особенно, в Турции», - сказал Ланг в интервью AFP."
9,Франции,Q170972,238,245,"Жак Ланг, который является одним из первых защитников закона о признании Геноцида армян, в показанном материале отказался от своей позиции: “Я проголосовал за принятие законопроекта о криминализации Геноцида армян в Национальном собрании Франции 12 октября 2007 года, потому что это было мне нужно во время предвыборной кампании», - сказал Ланг","Армянская община Франции потребовала от экс-министра культуры страны Жака Ланга разъяснить свою позицию по вопросу признания Геноцида армян. Как сообщил PanARMENIAN.Net французский журналист Жан Экиян, в 2008 году на конференции, организованной ассоциацией Liberte pour l'Histoire, был показан видеоматериал, который вызвал серьезное беспокойство среди армянской общины Франции. Жак Ланг, который является одним из первых защитников закона о признании Геноцида армян, в показанном материале отказался от своей позиции: “Я проголосовал за принятие законопроекта о криминализации Геноцида армян в Национальном собрании Франции 12 октября 2007 года, потому что это было мне нужно во время предвыборной кампании», - сказал Ланг. Президент Ассоциации армянских организаций Франции (CCAF) Алексис Говчян направил открытое письмо экс-министру, в котором выразил возмущение его новой позицией в отношении признания Геноцида армян. «Очень печально, что эта нечестная кампания и возмущение направлено против меня. Я не собираюсь вступать с кем-либо в полемику или же выслушивать нравоучения от кого-либо. Я буду продолжать работать над тем, чтобы Геноцид армян был признан во всем мире и, особенно, в Турции», - сказал Ланг в интервью AFP."
