,entity,id,start,end,sent_context,full_context
0,Краснодара,Q220854,22,32,Генеральный директор «Краснодара» Владимир Хашиг выступил с заявлением на тему судейства матча его команды в 12 туре российской Премьер-лиги против «Спартака» (1:3),"Генеральный директор «Краснодара» Владимир Хашиг выступил с заявлением на тему судейства матча его команды в 12 туре российской Премьер-лиги против «Спартака» (1:3). В частности, речь идёт об эпизоде с первым голом «Спартака», в котором форвард москвичей Эзекиэль Понсе подтолкнул защитника «Краснодара» Евгения Чернова и забил мяч. Также Хашиг добавил про незасчитанный гол защитника Кайо во втором тайме, когда счёт был 1:2. «Обычно, когда мы считаем, что судья ошибся во время нашего матча, мы подаем жалобу и никак ее не комментируем, так как видим, какую большую работу проводит новое руководство судейского комитета, и мы понимаем, что идет становление правильной работы, и мы должны терпеть. Но сегодня, после слов руководства «Спартака», что «ребята сделали красиво», мы считаем необходимым высказать свое отношение к произошедшему. «Красиво» сделали «ребята» Безбородов и Левников. Хочется заметить «Спартаку», что победу в этом матче им принесли предвзятое судейство Безбородова в поле и работа на VAR Левникова. Это они своими решениями обеспечили победу «Спартака» в прошедшем матче», — написано на официальном сайте «быков». Также Хашиг напомнил, что «Спартак» из-за одного момента в игре с «Сочи» грозился «сняться» с турнира, тогда как в последнем матче таких моментов было несколько. Победу «Спартаку» принесли судьи, считает функционер. «Краснодар» находится на восьмом месте в РПЛ. В активе команды Мурада Мусаева 18 очков после 12 туров. Ближайший матч команда проведёт 28 октября дома в рамках второго тура Лиги чемпионов против «Челси». Начало матча — в 20:55 по московскому времени."
1,Владимир Хашиг,-1,34,48,Генеральный директор «Краснодара» Владимир Хашиг выступил с заявлением на тему судейства матча его команды в 12 туре российской Премьер-лиги против «Спартака» (1:3),"Генеральный директор «Краснодара» Владимир Хашиг выступил с заявлением на тему судейства матча его команды в 12 туре российской Премьер-лиги против «Спартака» (1:3). В частности, речь идёт об эпизоде с первым голом «Спартака», в котором форвард москвичей Эзекиэль Понсе подтолкнул защитника «Краснодара» Евгения Чернова и забил мяч. Также Хашиг добавил про незасчитанный гол защитника Кайо во втором тайме, когда счёт был 1:2. «Обычно, когда мы считаем, что судья ошибся во время нашего матча, мы подаем жалобу и никак ее не комментируем, так как видим, какую большую работу проводит новое руководство судейского комитета, и мы понимаем, что идет становление правильной работы, и мы должны терпеть. Но сегодня, после слов руководства «Спартака», что «ребята сделали красиво», мы считаем необходимым высказать свое отношение к произошедшему. «Красиво» сделали «ребята» Безбородов и Левников. Хочется заметить «Спартаку», что победу в этом матче им принесли предвзятое судейство Безбородова в поле и работа на VAR Левникова. Это они своими решениями обеспечили победу «Спартака» в прошедшем матче», — написано на официальном сайте «быков». Также Хашиг напомнил, что «Спартак» из-за одного момента в игре с «Сочи» грозился «сняться» с турнира, тогда как в последнем матче таких моментов было несколько. Победу «Спартаку» принесли судьи, считает функционер. «Краснодар» находится на восьмом месте в РПЛ. В активе команды Мурада Мусаева 18 очков после 12 туров. Ближайший матч команда проведёт 28 октября дома в рамках второго тура Лиги чемпионов против «Челси». Начало матча — в 20:55 по московскому времени."
2,Премьер-лиги,Q4398004,128,140,Генеральный директор «Краснодара» Владимир Хашиг выступил с заявлением на тему судейства матча его команды в 12 туре российской Премьер-лиги против «Спартака» (1:3),"Генеральный директор «Краснодара» Владимир Хашиг выступил с заявлением на тему судейства матча его команды в 12 туре российской Премьер-лиги против «Спартака» (1:3). В частности, речь идёт об эпизоде с первым голом «Спартака», в котором форвард москвичей Эзекиэль Понсе подтолкнул защитника «Краснодара» Евгения Чернова и забил мяч. Также Хашиг добавил про незасчитанный гол защитника Кайо во втором тайме, когда счёт был 1:2. «Обычно, когда мы считаем, что судья ошибся во время нашего матча, мы подаем жалобу и никак ее не комментируем, так как видим, какую большую работу проводит новое руководство судейского комитета, и мы понимаем, что идет становление правильной работы, и мы должны терпеть. Но сегодня, после слов руководства «Спартака», что «ребята сделали красиво», мы считаем необходимым высказать свое отношение к произошедшему. «Красиво» сделали «ребята» Безбородов и Левников. Хочется заметить «Спартаку», что победу в этом матче им принесли предвзятое судейство Безбородова в поле и работа на VAR Левникова. Это они своими решениями обеспечили победу «Спартака» в прошедшем матче», — написано на официальном сайте «быков». Также Хашиг напомнил, что «Спартак» из-за одного момента в игре с «Сочи» грозился «сняться» с турнира, тогда как в последнем матче таких моментов было несколько. Победу «Спартаку» принесли судьи, считает функционер. «Краснодар» находится на восьмом месте в РПЛ. В активе команды Мурада Мусаева 18 очков после 12 туров. Ближайший матч команда проведёт 28 октября дома в рамках второго тура Лиги чемпионов против «Челси». Начало матча — в 20:55 по московскому времени."
3,Спартака,Q240438,149,157,Генеральный директор «Краснодара» Владимир Хашиг выступил с заявлением на тему судейства матча его команды в 12 туре российской Премьер-лиги против «Спартака» (1:3),"Генеральный директор «Краснодара» Владимир Хашиг выступил с заявлением на тему судейства матча его команды в 12 туре российской Премьер-лиги против «Спартака» (1:3). В частности, речь идёт об эпизоде с первым голом «Спартака», в котором форвард москвичей Эзекиэль Понсе подтолкнул защитника «Краснодара» Евгения Чернова и забил мяч. Также Хашиг добавил про незасчитанный гол защитника Кайо во втором тайме, когда счёт был 1:2. «Обычно, когда мы считаем, что судья ошибся во время нашего матча, мы подаем жалобу и никак ее не комментируем, так как видим, какую большую работу проводит новое руководство судейского комитета, и мы понимаем, что идет становление правильной работы, и мы должны терпеть. Но сегодня, после слов руководства «Спартака», что «ребята сделали красиво», мы считаем необходимым высказать свое отношение к произошедшему. «Красиво» сделали «ребята» Безбородов и Левников. Хочется заметить «Спартаку», что победу в этом матче им принесли предвзятое судейство Безбородова в поле и работа на VAR Левникова. Это они своими решениями обеспечили победу «Спартака» в прошедшем матче», — написано на официальном сайте «быков». Также Хашиг напомнил, что «Спартак» из-за одного момента в игре с «Сочи» грозился «сняться» с турнира, тогда как в последнем матче таких моментов было несколько. Победу «Спартаку» принесли судьи, считает функционер. «Краснодар» находится на восьмом месте в РПЛ. В активе команды Мурада Мусаева 18 очков после 12 туров. Ближайший матч команда проведёт 28 октября дома в рамках второго тура Лиги чемпионов против «Челси». Начало матча — в 20:55 по московскому времени."
4,Спартака,Q240438,50,58,"В частности, речь идёт об эпизоде с первым голом «Спартака», в котором форвард москвичей Эзекиэль Понсе подтолкнул защитника «Краснодара» Евгения Чернова и забил мяч","Генеральный директор «Краснодара» Владимир Хашиг выступил с заявлением на тему судейства матча его команды в 12 туре российской Премьер-лиги против «Спартака» (1:3). В частности, речь идёт об эпизоде с первым голом «Спартака», в котором форвард москвичей Эзекиэль Понсе подтолкнул защитника «Краснодара» Евгения Чернова и забил мяч. Также Хашиг добавил про незасчитанный гол защитника Кайо во втором тайме, когда счёт был 1:2. «Обычно, когда мы считаем, что судья ошибся во время нашего матча, мы подаем жалобу и никак ее не комментируем, так как видим, какую большую работу проводит новое руководство судейского комитета, и мы понимаем, что идет становление правильной работы, и мы должны терпеть. Но сегодня, после слов руководства «Спартака», что «ребята сделали красиво», мы считаем необходимым высказать свое отношение к произошедшему. «Красиво» сделали «ребята» Безбородов и Левников. Хочется заметить «Спартаку», что победу в этом матче им принесли предвзятое судейство Безбородова в поле и работа на VAR Левникова. Это они своими решениями обеспечили победу «Спартака» в прошедшем матче», — написано на официальном сайте «быков». Также Хашиг напомнил, что «Спартак» из-за одного момента в игре с «Сочи» грозился «сняться» с турнира, тогда как в последнем матче таких моментов было несколько. Победу «Спартаку» принесли судьи, считает функционер. «Краснодар» находится на восьмом месте в РПЛ. В активе команды Мурада Мусаева 18 очков после 12 туров. Ближайший матч команда проведёт 28 октября дома в рамках второго тура Лиги чемпионов против «Челси». Начало матча — в 20:55 по московскому времени."
5,Эзекиэль Понсе,-1,89,103,"В частности, речь идёт об эпизоде с первым голом «Спартака», в котором форвард москвичей Эзекиэль Понсе подтолкнул защитника «Краснодара» Евгения Чернова и забил мяч","Генеральный директор «Краснодара» Владимир Хашиг выступил с заявлением на тему судейства матча его команды в 12 туре российской Премьер-лиги против «Спартака» (1:3). В частности, речь идёт об эпизоде с первым голом «Спартака», в котором форвард москвичей Эзекиэль Понсе подтолкнул защитника «Краснодара» Евгения Чернова и забил мяч. Также Хашиг добавил про незасчитанный гол защитника Кайо во втором тайме, когда счёт был 1:2. «Обычно, когда мы считаем, что судья ошибся во время нашего матча, мы подаем жалобу и никак ее не комментируем, так как видим, какую большую работу проводит новое руководство судейского комитета, и мы понимаем, что идет становление правильной работы, и мы должны терпеть. Но сегодня, после слов руководства «Спартака», что «ребята сделали красиво», мы считаем необходимым высказать свое отношение к произошедшему. «Красиво» сделали «ребята» Безбородов и Левников. Хочется заметить «Спартаку», что победу в этом матче им принесли предвзятое судейство Безбородова в поле и работа на VAR Левникова. Это они своими решениями обеспечили победу «Спартака» в прошедшем матче», — написано на официальном сайте «быков». Также Хашиг напомнил, что «Спартак» из-за одного момента в игре с «Сочи» грозился «сняться» с турнира, тогда как в последнем матче таких моментов было несколько. Победу «Спартаку» принесли судьи, считает функционер. «Краснодар» находится на восьмом месте в РПЛ. В активе команды Мурада Мусаева 18 очков после 12 туров. Ближайший матч команда проведёт 28 октября дома в рамках второго тура Лиги чемпионов против «Челси». Начало матча — в 20:55 по московскому времени."
6,Краснодара,Q220854,126,136,"В частности, речь идёт об эпизоде с первым голом «Спартака», в котором форвард москвичей Эзекиэль Понсе подтолкнул защитника «Краснодара» Евгения Чернова и забил мяч","Генеральный директор «Краснодара» Владимир Хашиг выступил с заявлением на тему судейства матча его команды в 12 туре российской Премьер-лиги против «Спартака» (1:3). В частности, речь идёт об эпизоде с первым голом «Спартака», в котором форвард москвичей Эзекиэль Понсе подтолкнул защитника «Краснодара» Евгения Чернова и забил мяч. Также Хашиг добавил про незасчитанный гол защитника Кайо во втором тайме, когда счёт был 1:2. «Обычно, когда мы считаем, что судья ошибся во время нашего матча, мы подаем жалобу и никак ее не комментируем, так как видим, какую большую работу проводит новое руководство судейского комитета, и мы понимаем, что идет становление правильной работы, и мы должны терпеть. Но сегодня, после слов руководства «Спартака», что «ребята сделали красиво», мы считаем необходимым высказать свое отношение к произошедшему. «Красиво» сделали «ребята» Безбородов и Левников. Хочется заметить «Спартаку», что победу в этом матче им принесли предвзятое судейство Безбородова в поле и работа на VAR Левникова. Это они своими решениями обеспечили победу «Спартака» в прошедшем матче», — написано на официальном сайте «быков». Также Хашиг напомнил, что «Спартак» из-за одного момента в игре с «Сочи» грозился «сняться» с турнира, тогда как в последнем матче таких моментов было несколько. Победу «Спартаку» принесли судьи, считает функционер. «Краснодар» находится на восьмом месте в РПЛ. В активе команды Мурада Мусаева 18 очков после 12 туров. Ближайший матч команда проведёт 28 октября дома в рамках второго тура Лиги чемпионов против «Челси». Начало матча — в 20:55 по московскому времени."
7,Евгения Чернова,-1,138,153,"В частности, речь идёт об эпизоде с первым голом «Спартака», в котором форвард москвичей Эзекиэль Понсе подтолкнул защитника «Краснодара» Евгения Чернова и забил мяч","Генеральный директор «Краснодара» Владимир Хашиг выступил с заявлением на тему судейства матча его команды в 12 туре российской Премьер-лиги против «Спартака» (1:3). В частности, речь идёт об эпизоде с первым голом «Спартака», в котором форвард москвичей Эзекиэль Понсе подтолкнул защитника «Краснодара» Евгения Чернова и забил мяч. Также Хашиг добавил про незасчитанный гол защитника Кайо во втором тайме, когда счёт был 1:2. «Обычно, когда мы считаем, что судья ошибся во время нашего матча, мы подаем жалобу и никак ее не комментируем, так как видим, какую большую работу проводит новое руководство судейского комитета, и мы понимаем, что идет становление правильной работы, и мы должны терпеть. Но сегодня, после слов руководства «Спартака», что «ребята сделали красиво», мы считаем необходимым высказать свое отношение к произошедшему. «Красиво» сделали «ребята» Безбородов и Левников. Хочется заметить «Спартаку», что победу в этом матче им принесли предвзятое судейство Безбородова в поле и работа на VAR Левникова. Это они своими решениями обеспечили победу «Спартака» в прошедшем матче», — написано на официальном сайте «быков». Также Хашиг напомнил, что «Спартак» из-за одного момента в игре с «Сочи» грозился «сняться» с турнира, тогда как в последнем матче таких моментов было несколько. Победу «Спартаку» принесли судьи, считает функционер. «Краснодар» находится на восьмом месте в РПЛ. В активе команды Мурада Мусаева 18 очков после 12 туров. Ближайший матч команда проведёт 28 октября дома в рамках второго тура Лиги чемпионов против «Челси». Начало матча — в 20:55 по московскому времени."
8,Хашиг,-1,6,11,"Также Хашиг добавил про незасчитанный гол защитника Кайо во втором тайме, когда счёт был 1:2","Генеральный директор «Краснодара» Владимир Хашиг выступил с заявлением на тему судейства матча его команды в 12 туре российской Премьер-лиги против «Спартака» (1:3). В частности, речь идёт об эпизоде с первым голом «Спартака», в котором форвард москвичей Эзекиэль Понсе подтолкнул защитника «Краснодара» Евгения Чернова и забил мяч. Также Хашиг добавил про незасчитанный гол защитника Кайо во втором тайме, когда счёт был 1:2. «Обычно, когда мы считаем, что судья ошибся во время нашего матча, мы подаем жалобу и никак ее не комментируем, так как видим, какую большую работу проводит новое руководство судейского комитета, и мы понимаем, что идет становление правильной работы, и мы должны терпеть. Но сегодня, после слов руководства «Спартака», что «ребята сделали красиво», мы считаем необходимым высказать свое отношение к произошедшему. «Красиво» сделали «ребята» Безбородов и Левников. Хочется заметить «Спартаку», что победу в этом матче им принесли предвзятое судейство Безбородова в поле и работа на VAR Левникова. Это они своими решениями обеспечили победу «Спартака» в прошедшем матче», — написано на официальном сайте «быков». Также Хашиг напомнил, что «Спартак» из-за одного момента в игре с «Сочи» грозился «сняться» с турнира, тогда как в последнем матче таких моментов было несколько. Победу «Спартаку» принесли судьи, считает функционер. «Краснодар» находится на восьмом месте в РПЛ. В активе команды Мурада Мусаева 18 очков после 12 туров. Ближайший матч команда проведёт 28 октября дома в рамках второго тура Лиги чемпионов против «Челси». Начало матча — в 20:55 по московскому времени."
9,Кайо,Q92749,52,56,"Также Хашиг добавил про незасчитанный гол защитника Кайо во втором тайме, когда счёт был 1:2","Генеральный директор «Краснодара» Владимир Хашиг выступил с заявлением на тему судейства матча его команды в 12 туре российской Премьер-лиги против «Спартака» (1:3). В частности, речь идёт об эпизоде с первым голом «Спартака», в котором форвард москвичей Эзекиэль Понсе подтолкнул защитника «Краснодара» Евгения Чернова и забил мяч. Также Хашиг добавил про незасчитанный гол защитника Кайо во втором тайме, когда счёт был 1:2. «Обычно, когда мы считаем, что судья ошибся во время нашего матча, мы подаем жалобу и никак ее не комментируем, так как видим, какую большую работу проводит новое руководство судейского комитета, и мы понимаем, что идет становление правильной работы, и мы должны терпеть. Но сегодня, после слов руководства «Спартака», что «ребята сделали красиво», мы считаем необходимым высказать свое отношение к произошедшему. «Красиво» сделали «ребята» Безбородов и Левников. Хочется заметить «Спартаку», что победу в этом матче им принесли предвзятое судейство Безбородова в поле и работа на VAR Левникова. Это они своими решениями обеспечили победу «Спартака» в прошедшем матче», — написано на официальном сайте «быков». Также Хашиг напомнил, что «Спартак» из-за одного момента в игре с «Сочи» грозился «сняться» с турнира, тогда как в последнем матче таких моментов было несколько. Победу «Спартаку» принесли судьи, считает функционер. «Краснодар» находится на восьмом месте в РПЛ. В активе команды Мурада Мусаева 18 очков после 12 туров. Ближайший матч команда проведёт 28 октября дома в рамках второго тура Лиги чемпионов против «Челси». Начало матча — в 20:55 по московскому времени."
