,end,entity,full_context,id,start
0,9.0,Бакинская,"Бакинская газета «Шарг», обращаясь вновь к газопроводу Nabucco пишет, что сопредседатель Комитета энергетической безопасности ПА Евронест Иржи Машталка заявил в Баку, что проект Nabucco до сих пор не реализован в связи с отсутствием желания по его инвестированию. «Для реализации Nabucco необходимо инвестировать 8 миллиардов евро, и это небольшие деньги для Евросоюза», – сказал он.

Между тем, член комиссии по экономическим вопросам Вахид Ахмедов отметил, что для реализации проекта Nabucco необходимо, во-первых, заполнение трубы газом, а для этого нужно около 31 миллиарда кубометра газа. Другой вопрос – это финансовый.

«В Европе серьезный финансовый кризис. Поэтому выделение финансов на проект стало проблематичным. Но даже если финансовые вопросы возьмут на себя международные финансовые институты, все равно остается открытым вопрос заполнения трубы необходимым объемом газа. В Азербайджане такого объема газа нет. С Туркменистаном, Ираном и Ираком данный вопрос еще не согласован. Поэтому до сих пор проект не реализован. Но я вас уверяю, что данный проект рано или поздно будет осуществлен, Так как он имеет большое значение для Запада», - сказал он.","['Q4075899', 'Q4075896']",0.0
1,62.0,Nabucco,"Бакинская газета «Шарг», обращаясь вновь к газопроводу Nabucco пишет, что сопредседатель Комитета энергетической безопасности ПА Евронест Иржи Машталка заявил в Баку, что проект Nabucco до сих пор не реализован в связи с отсутствием желания по его инвестированию. «Для реализации Nabucco необходимо инвестировать 8 миллиардов евро, и это небольшие деньги для Евросоюза», – сказал он.

Между тем, член комиссии по экономическим вопросам Вахид Ахмедов отметил, что для реализации проекта Nabucco необходимо, во-первых, заполнение трубы газом, а для этого нужно около 31 миллиарда кубометра газа. Другой вопрос – это финансовый.

«В Европе серьезный финансовый кризис. Поэтому выделение финансов на проект стало проблематичным. Но даже если финансовые вопросы возьмут на себя международные финансовые институты, все равно остается открытым вопрос заполнения трубы необходимым объемом газа. В Азербайджане такого объема газа нет. С Туркменистаном, Ираном и Ираком данный вопрос еще не согласован. Поэтому до сих пор проект не реализован. Но я вас уверяю, что данный проект рано или поздно будет осуществлен, Так как он имеет большое значение для Запада», - сказал он.","['Q498908', 'Q19352305', 'Q19352306']",55.0
2,128.0,ПА,"Бакинская газета «Шарг», обращаясь вновь к газопроводу Nabucco пишет, что сопредседатель Комитета энергетической безопасности ПА Евронест Иржи Машталка заявил в Баку, что проект Nabucco до сих пор не реализован в связи с отсутствием желания по его инвестированию. «Для реализации Nabucco необходимо инвестировать 8 миллиардов евро, и это небольшие деньги для Евросоюза», – сказал он.

Между тем, член комиссии по экономическим вопросам Вахид Ахмедов отметил, что для реализации проекта Nabucco необходимо, во-первых, заполнение трубы газом, а для этого нужно около 31 миллиарда кубометра газа. Другой вопрос – это финансовый.

«В Европе серьезный финансовый кризис. Поэтому выделение финансов на проект стало проблематичным. Но даже если финансовые вопросы возьмут на себя международные финансовые институты, все равно остается открытым вопрос заполнения трубы необходимым объемом газа. В Азербайджане такого объема газа нет. С Туркменистаном, Ираном и Ираком данный вопрос еще не согласован. Поэтому до сих пор проект не реализован. Но я вас уверяю, что данный проект рано или поздно будет осуществлен, Так как он имеет большое значение для Запада», - сказал он.",['Q42620'],126.0
3,142.0,Иржи,"Бакинская газета «Шарг», обращаясь вновь к газопроводу Nabucco пишет, что сопредседатель Комитета энергетической безопасности ПА Евронест Иржи Машталка заявил в Баку, что проект Nabucco до сих пор не реализован в связи с отсутствием желания по его инвестированию. «Для реализации Nabucco необходимо инвестировать 8 миллиардов евро, и это небольшие деньги для Евросоюза», – сказал он.

Между тем, член комиссии по экономическим вопросам Вахид Ахмедов отметил, что для реализации проекта Nabucco необходимо, во-первых, заполнение трубы газом, а для этого нужно около 31 миллиарда кубометра газа. Другой вопрос – это финансовый.

«В Европе серьезный финансовый кризис. Поэтому выделение финансов на проект стало проблематичным. Но даже если финансовые вопросы возьмут на себя международные финансовые институты, все равно остается открытым вопрос заполнения трубы необходимым объемом газа. В Азербайджане такого объема газа нет. С Туркменистаном, Ираном и Ираком данный вопрос еще не согласован. Поэтому до сих пор проект не реализован. Но я вас уверяю, что данный проект рано или поздно будет осуществлен, Так как он имеет большое значение для Запада», - сказал он.",['Q37753064'],138.0
4,165.0,Баку,"Бакинская газета «Шарг», обращаясь вновь к газопроводу Nabucco пишет, что сопредседатель Комитета энергетической безопасности ПА Евронест Иржи Машталка заявил в Баку, что проект Nabucco до сих пор не реализован в связи с отсутствием желания по его инвестированию. «Для реализации Nabucco необходимо инвестировать 8 миллиардов евро, и это небольшие деньги для Евросоюза», – сказал он.

Между тем, член комиссии по экономическим вопросам Вахид Ахмедов отметил, что для реализации проекта Nabucco необходимо, во-первых, заполнение трубы газом, а для этого нужно около 31 миллиарда кубометра газа. Другой вопрос – это финансовый.

«В Европе серьезный финансовый кризис. Поэтому выделение финансов на проект стало проблематичным. Но даже если финансовые вопросы возьмут на себя международные финансовые институты, все равно остается открытым вопрос заполнения трубы необходимым объемом газа. В Азербайджане такого объема газа нет. С Туркменистаном, Ираном и Ираком данный вопрос еще не согласован. Поэтому до сих пор проект не реализован. Но я вас уверяю, что данный проект рано или поздно будет осуществлен, Так как он имеет большое значение для Запада», - сказал он.",['Q9248'],161.0
5,177.0,проект,"Бакинская газета «Шарг», обращаясь вновь к газопроводу Nabucco пишет, что сопредседатель Комитета энергетической безопасности ПА Евронест Иржи Машталка заявил в Баку, что проект Nabucco до сих пор не реализован в связи с отсутствием желания по его инвестированию. «Для реализации Nabucco необходимо инвестировать 8 миллиардов евро, и это небольшие деньги для Евросоюза», – сказал он.

Между тем, член комиссии по экономическим вопросам Вахид Ахмедов отметил, что для реализации проекта Nabucco необходимо, во-первых, заполнение трубы газом, а для этого нужно около 31 миллиарда кубометра газа. Другой вопрос – это финансовый.

«В Европе серьезный финансовый кризис. Поэтому выделение финансов на проект стало проблематичным. Но даже если финансовые вопросы возьмут на себя международные финансовые институты, все равно остается открытым вопрос заполнения трубы необходимым объемом газа. В Азербайджане такого объема газа нет. С Туркменистаном, Ираном и Ираком данный вопрос еще не согласован. Поэтому до сих пор проект не реализован. Но я вас уверяю, что данный проект рано или поздно будет осуществлен, Так как он имеет большое значение для Запада», - сказал он.",['Q170584'],171.0
6,185.0,Nabucco,"Бакинская газета «Шарг», обращаясь вновь к газопроводу Nabucco пишет, что сопредседатель Комитета энергетической безопасности ПА Евронест Иржи Машталка заявил в Баку, что проект Nabucco до сих пор не реализован в связи с отсутствием желания по его инвестированию. «Для реализации Nabucco необходимо инвестировать 8 миллиардов евро, и это небольшие деньги для Евросоюза», – сказал он.

Между тем, член комиссии по экономическим вопросам Вахид Ахмедов отметил, что для реализации проекта Nabucco необходимо, во-первых, заполнение трубы газом, а для этого нужно около 31 миллиарда кубометра газа. Другой вопрос – это финансовый.

«В Европе серьезный финансовый кризис. Поэтому выделение финансов на проект стало проблематичным. Но даже если финансовые вопросы возьмут на себя международные финансовые институты, все равно остается открытым вопрос заполнения трубы необходимым объемом газа. В Азербайджане такого объема газа нет. С Туркменистаном, Ираном и Ираком данный вопрос еще не согласован. Поэтому до сих пор проект не реализован. Но я вас уверяю, что данный проект рано или поздно будет осуществлен, Так как он имеет большое значение для Запада», - сказал он.",['Q498908'],178.0
7,287.0,Nabucco,"Бакинская газета «Шарг», обращаясь вновь к газопроводу Nabucco пишет, что сопредседатель Комитета энергетической безопасности ПА Евронест Иржи Машталка заявил в Баку, что проект Nabucco до сих пор не реализован в связи с отсутствием желания по его инвестированию. «Для реализации Nabucco необходимо инвестировать 8 миллиардов евро, и это небольшие деньги для Евросоюза», – сказал он.

Между тем, член комиссии по экономическим вопросам Вахид Ахмедов отметил, что для реализации проекта Nabucco необходимо, во-первых, заполнение трубы газом, а для этого нужно около 31 миллиарда кубометра газа. Другой вопрос – это финансовый.

«В Европе серьезный финансовый кризис. Поэтому выделение финансов на проект стало проблематичным. Но даже если финансовые вопросы возьмут на себя международные финансовые институты, все равно остается открытым вопрос заполнения трубы необходимым объемом газа. В Азербайджане такого объема газа нет. С Туркменистаном, Ираном и Ираком данный вопрос еще не согласован. Поэтому до сих пор проект не реализован. Но я вас уверяю, что данный проект рано или поздно будет осуществлен, Так как он имеет большое значение для Запада», - сказал он.","['Q498908', 'Q19352305', 'Q19352306']",280.0
8,493.0,Nabucco,"Бакинская газета «Шарг», обращаясь вновь к газопроводу Nabucco пишет, что сопредседатель Комитета энергетической безопасности ПА Евронест Иржи Машталка заявил в Баку, что проект Nabucco до сих пор не реализован в связи с отсутствием желания по его инвестированию. «Для реализации Nabucco необходимо инвестировать 8 миллиардов евро, и это небольшие деньги для Евросоюза», – сказал он.

Между тем, член комиссии по экономическим вопросам Вахид Ахмедов отметил, что для реализации проекта Nabucco необходимо, во-первых, заполнение трубы газом, а для этого нужно около 31 миллиарда кубометра газа. Другой вопрос – это финансовый.

«В Европе серьезный финансовый кризис. Поэтому выделение финансов на проект стало проблематичным. Но даже если финансовые вопросы возьмут на себя международные финансовые институты, все равно остается открытым вопрос заполнения трубы необходимым объемом газа. В Азербайджане такого объема газа нет. С Туркменистаном, Ираном и Ираком данный вопрос еще не согласован. Поэтому до сих пор проект не реализован. Но я вас уверяю, что данный проект рано или поздно будет осуществлен, Так как он имеет большое значение для Запада», - сказал он.","['Q498908', 'Q19352306', 'Q19352305']",486.0
9,702.0,проект,"Бакинская газета «Шарг», обращаясь вновь к газопроводу Nabucco пишет, что сопредседатель Комитета энергетической безопасности ПА Евронест Иржи Машталка заявил в Баку, что проект Nabucco до сих пор не реализован в связи с отсутствием желания по его инвестированию. «Для реализации Nabucco необходимо инвестировать 8 миллиардов евро, и это небольшие деньги для Евросоюза», – сказал он.

Между тем, член комиссии по экономическим вопросам Вахид Ахмедов отметил, что для реализации проекта Nabucco необходимо, во-первых, заполнение трубы газом, а для этого нужно около 31 миллиарда кубометра газа. Другой вопрос – это финансовый.

«В Европе серьезный финансовый кризис. Поэтому выделение финансов на проект стало проблематичным. Но даже если финансовые вопросы возьмут на себя международные финансовые институты, все равно остается открытым вопрос заполнения трубы необходимым объемом газа. В Азербайджане такого объема газа нет. С Туркменистаном, Ираном и Ираком данный вопрос еще не согласован. Поэтому до сих пор проект не реализован. Но я вас уверяю, что данный проект рано или поздно будет осуществлен, Так как он имеет большое значение для Запада», - сказал он.",['Q170584'],696.0
