,end,entity,full_context,id,start
0,62.0,Киев,"В Кремле подтверждают готовность направить посла России в Киев, хотя предметных переговоров по этому поводу не было

Как передает Regionews со ссылкой на УНИАН, об этом заявил пресс-секретарь президента России Дмитрий Песков.

""По кандидатурам преждевременно говорить. В целом вы видите, что между двумя президентами и на экспертном уровне определенные контакты имеют место. Вместе с тем, предметного разговора об обмене главами дипломатических миссий до сих пор не было. Хотя, безусловно, вот такая готовность декларируется министром иностранных дел"", - сказал он.

Как сообщал Regionews, ранее глава МИД РФ Сергей Лавров заявил, что Россия ""не против"" вернуть своего посла в Киев, а посла Украины - в Москву.

",['Q1899'],58.0
1,120.0,Как,"В Кремле подтверждают готовность направить посла России в Киев, хотя предметных переговоров по этому поводу не было

Как передает Regionews со ссылкой на УНИАН, об этом заявил пресс-секретарь президента России Дмитрий Песков.

""По кандидатурам преждевременно говорить. В целом вы видите, что между двумя президентами и на экспертном уровне определенные контакты имеют место. Вместе с тем, предметного разговора об обмене главами дипломатических миссий до сих пор не было. Хотя, безусловно, вот такая готовность декларируется министром иностранных дел"", - сказал он.

Как сообщал Regionews, ранее глава МИД РФ Сергей Лавров заявил, что Россия ""не против"" вернуть своего посла в Киев, а посла Украины - в Москву.

","['Q12575354', 'Q12575355']",117.0
2,159.0,УНИАН,"В Кремле подтверждают готовность направить посла России в Киев, хотя предметных переговоров по этому поводу не было

Как передает Regionews со ссылкой на УНИАН, об этом заявил пресс-секретарь президента России Дмитрий Песков.

""По кандидатурам преждевременно говорить. В целом вы видите, что между двумя президентами и на экспертном уровне определенные контакты имеют место. Вместе с тем, предметного разговора об обмене главами дипломатических миссий до сих пор не было. Хотя, безусловно, вот такая готовность декларируется министром иностранных дел"", - сказал он.

Как сообщал Regionews, ранее глава МИД РФ Сергей Лавров заявил, что Россия ""не против"" вернуть своего посла в Киев, а посла Украины - в Москву.

",['Q2095222'],154.0
3,224.0,Дмитрий Песков,"В Кремле подтверждают готовность направить посла России в Киев, хотя предметных переговоров по этому поводу не было

Как передает Regionews со ссылкой на УНИАН, об этом заявил пресс-секретарь президента России Дмитрий Песков.

""По кандидатурам преждевременно говорить. В целом вы видите, что между двумя президентами и на экспертном уровне определенные контакты имеют место. Вместе с тем, предметного разговора об обмене главами дипломатических миссий до сих пор не было. Хотя, безусловно, вот такая готовность декларируется министром иностранных дел"", - сказал он.

Как сообщал Regionews, ранее глава МИД РФ Сергей Лавров заявил, что Россия ""не против"" вернуть своего посла в Киев, а посла Украины - в Москву.

",['Q4359688'],210.0
4,230.0,По,"В Кремле подтверждают готовность направить посла России в Киев, хотя предметных переговоров по этому поводу не было

Как передает Regionews со ссылкой на УНИАН, об этом заявил пресс-секретарь президента России Дмитрий Песков.

""По кандидатурам преждевременно говорить. В целом вы видите, что между двумя президентами и на экспертном уровне определенные контакты имеют место. Вместе с тем, предметного разговора об обмене главами дипломатических миссий до сих пор не было. Хотя, безусловно, вот такая готовность декларируется министром иностранных дел"", - сказал он.

Как сообщал Regionews, ранее глава МИД РФ Сергей Лавров заявил, что Россия ""не против"" вернуть своего посла в Киев, а посла Украины - в Москву.

","['Q643', 'Q132671', 'Q681862']",228.0
5,381.0,Вместе,"В Кремле подтверждают готовность направить посла России в Киев, хотя предметных переговоров по этому поводу не было

Как передает Regionews со ссылкой на УНИАН, об этом заявил пресс-секретарь президента России Дмитрий Песков.

""По кандидатурам преждевременно говорить. В целом вы видите, что между двумя президентами и на экспертном уровне определенные контакты имеют место. Вместе с тем, предметного разговора об обмене главами дипломатических миссий до сих пор не было. Хотя, безусловно, вот такая готовность декларируется министром иностранных дел"", - сказал он.

Как сообщал Regionews, ранее глава МИД РФ Сергей Лавров заявил, что Россия ""не против"" вернуть своего посла в Киев, а посла Украины - в Москву.

","['Q3054830', 'Q98825298']",375.0
6,570.0,Как,"В Кремле подтверждают готовность направить посла России в Киев, хотя предметных переговоров по этому поводу не было

Как передает Regionews со ссылкой на УНИАН, об этом заявил пресс-секретарь президента России Дмитрий Песков.

""По кандидатурам преждевременно говорить. В целом вы видите, что между двумя президентами и на экспертном уровне определенные контакты имеют место. Вместе с тем, предметного разговора об обмене главами дипломатических миссий до сих пор не было. Хотя, безусловно, вот такая готовность декларируется министром иностранных дел"", - сказал он.

Как сообщал Regionews, ранее глава МИД РФ Сергей Лавров заявил, что Россия ""не против"" вернуть своего посла в Киев, а посла Украины - в Москву.

","['Q12575354', 'Q12575355']",567.0
7,608.0,МИД РФ,"В Кремле подтверждают готовность направить посла России в Киев, хотя предметных переговоров по этому поводу не было

Как передает Regionews со ссылкой на УНИАН, об этом заявил пресс-секретарь президента России Дмитрий Песков.

""По кандидатурам преждевременно говорить. В целом вы видите, что между двумя президентами и на экспертном уровне определенные контакты имеют место. Вместе с тем, предметного разговора об обмене главами дипломатических миссий до сих пор не было. Хотя, безусловно, вот такая готовность декларируется министром иностранных дел"", - сказал он.

Как сообщал Regionews, ранее глава МИД РФ Сергей Лавров заявил, что Россия ""не против"" вернуть своего посла в Киев, а посла Украины - в Москву.

",['Q789889'],602.0
8,622.0,Сергей Лавров,"В Кремле подтверждают готовность направить посла России в Киев, хотя предметных переговоров по этому поводу не было

Как передает Regionews со ссылкой на УНИАН, об этом заявил пресс-секретарь президента России Дмитрий Песков.

""По кандидатурам преждевременно говорить. В целом вы видите, что между двумя президентами и на экспертном уровне определенные контакты имеют место. Вместе с тем, предметного разговора об обмене главами дипломатических миссий до сих пор не было. Хотя, безусловно, вот такая готовность декларируется министром иностранных дел"", - сказал он.

Как сообщал Regionews, ранее глава МИД РФ Сергей Лавров заявил, что Россия ""не против"" вернуть своего посла в Киев, а посла Украины - в Москву.

",['Q58217'],609.0
9,641.0,Россия,"В Кремле подтверждают готовность направить посла России в Киев, хотя предметных переговоров по этому поводу не было

Как передает Regionews со ссылкой на УНИАН, об этом заявил пресс-секретарь президента России Дмитрий Песков.

""По кандидатурам преждевременно говорить. В целом вы видите, что между двумя президентами и на экспертном уровне определенные контакты имеют место. Вместе с тем, предметного разговора об обмене главами дипломатических миссий до сих пор не было. Хотя, безусловно, вот такая готовность декларируется министром иностранных дел"", - сказал он.

Как сообщал Regionews, ранее глава МИД РФ Сергей Лавров заявил, что Россия ""не против"" вернуть своего посла в Киев, а посла Украины - в Москву.

",['Q159'],635.0
