,entity,id,start,end,sent_context,full_context
0,Миасский городской суд,-1,0,22,Миасский городской суд 28 июля оштрафовал на 20 тысяч рублей местных жителей Михаила Кумина и Евгения Лузина из-за акции в поддержку протестующих в Хабаровском крае,"Миасский городской суд 28 июля оштрафовал на 20 тысяч рублей местных жителей Михаила Кумина и Евгения Лузина из-за акции в поддержку протестующих в Хабаровском крае. Об этом сообщает «Апология протеста». Суд признал Кумина и Лузина виновными по статье об организации несогласованной акции (ч. 2 ст. 20.2 КоАП). Адвокат Андрей Лепехин собирается обжаловать решение. По версии полицейских, челябинцы якобы «приняли решение о проведении массового меропрития», «оповестили граждан» и провели акцию, участники которой использовали плакаты «Я/Мы Хабаровск», «Хабаровск, Миасс с вами». 25 июля в разных городах прошли акции в поддержку бывшего губернатора Хабаровского края Сергея Фургала. Акция в Хабаровске собрала, по разным подсчетам, от 20 до 90 тысяч человек. В нескольких городах не обошлось без задержаний. Мы опубликовали списки задержанных."
1,Михаила Кумина,-1,77,91,Миасский городской суд 28 июля оштрафовал на 20 тысяч рублей местных жителей Михаила Кумина и Евгения Лузина из-за акции в поддержку протестующих в Хабаровском крае,"Миасский городской суд 28 июля оштрафовал на 20 тысяч рублей местных жителей Михаила Кумина и Евгения Лузина из-за акции в поддержку протестующих в Хабаровском крае. Об этом сообщает «Апология протеста». Суд признал Кумина и Лузина виновными по статье об организации несогласованной акции (ч. 2 ст. 20.2 КоАП). Адвокат Андрей Лепехин собирается обжаловать решение. По версии полицейских, челябинцы якобы «приняли решение о проведении массового меропрития», «оповестили граждан» и провели акцию, участники которой использовали плакаты «Я/Мы Хабаровск», «Хабаровск, Миасс с вами». 25 июля в разных городах прошли акции в поддержку бывшего губернатора Хабаровского края Сергея Фургала. Акция в Хабаровске собрала, по разным подсчетам, от 20 до 90 тысяч человек. В нескольких городах не обошлось без задержаний. Мы опубликовали списки задержанных."
2,Евгения Лузина,-1,94,108,Миасский городской суд 28 июля оштрафовал на 20 тысяч рублей местных жителей Михаила Кумина и Евгения Лузина из-за акции в поддержку протестующих в Хабаровском крае,"Миасский городской суд 28 июля оштрафовал на 20 тысяч рублей местных жителей Михаила Кумина и Евгения Лузина из-за акции в поддержку протестующих в Хабаровском крае. Об этом сообщает «Апология протеста». Суд признал Кумина и Лузина виновными по статье об организации несогласованной акции (ч. 2 ст. 20.2 КоАП). Адвокат Андрей Лепехин собирается обжаловать решение. По версии полицейских, челябинцы якобы «приняли решение о проведении массового меропрития», «оповестили граждан» и провели акцию, участники которой использовали плакаты «Я/Мы Хабаровск», «Хабаровск, Миасс с вами». 25 июля в разных городах прошли акции в поддержку бывшего губернатора Хабаровского края Сергея Фургала. Акция в Хабаровске собрала, по разным подсчетам, от 20 до 90 тысяч человек. В нескольких городах не обошлось без задержаний. Мы опубликовали списки задержанных."
3,Хабаровском крае,"['Q4221800', 'Q4085524', 'Q100359982']",148,164,Миасский городской суд 28 июля оштрафовал на 20 тысяч рублей местных жителей Михаила Кумина и Евгения Лузина из-за акции в поддержку протестующих в Хабаровском крае,"Миасский городской суд 28 июля оштрафовал на 20 тысяч рублей местных жителей Михаила Кумина и Евгения Лузина из-за акции в поддержку протестующих в Хабаровском крае. Об этом сообщает «Апология протеста». Суд признал Кумина и Лузина виновными по статье об организации несогласованной акции (ч. 2 ст. 20.2 КоАП). Адвокат Андрей Лепехин собирается обжаловать решение. По версии полицейских, челябинцы якобы «приняли решение о проведении массового меропрития», «оповестили граждан» и провели акцию, участники которой использовали плакаты «Я/Мы Хабаровск», «Хабаровск, Миасс с вами». 25 июля в разных городах прошли акции в поддержку бывшего губернатора Хабаровского края Сергея Фургала. Акция в Хабаровске собрала, по разным подсчетам, от 20 до 90 тысяч человек. В нескольких городах не обошлось без задержаний. Мы опубликовали списки задержанных."
4,Кумина,['Q61869860'],12,18,Суд признал Кумина и Лузина виновными по статье об организации несогласованной акции (ч,"Миасский городской суд 28 июля оштрафовал на 20 тысяч рублей местных жителей Михаила Кумина и Евгения Лузина из-за акции в поддержку протестующих в Хабаровском крае. Об этом сообщает «Апология протеста». Суд признал Кумина и Лузина виновными по статье об организации несогласованной акции (ч. 2 ст. 20.2 КоАП). Адвокат Андрей Лепехин собирается обжаловать решение. По версии полицейских, челябинцы якобы «приняли решение о проведении массового меропрития», «оповестили граждан» и провели акцию, участники которой использовали плакаты «Я/Мы Хабаровск», «Хабаровск, Миасс с вами». 25 июля в разных городах прошли акции в поддержку бывшего губернатора Хабаровского края Сергея Фургала. Акция в Хабаровске собрала, по разным подсчетам, от 20 до 90 тысяч человек. В нескольких городах не обошлось без задержаний. Мы опубликовали списки задержанных."
5,Лузина,"['Q4268323', 'Q4157147', 'Q9370088']",21,27,Суд признал Кумина и Лузина виновными по статье об организации несогласованной акции (ч,"Миасский городской суд 28 июля оштрафовал на 20 тысяч рублей местных жителей Михаила Кумина и Евгения Лузина из-за акции в поддержку протестующих в Хабаровском крае. Об этом сообщает «Апология протеста». Суд признал Кумина и Лузина виновными по статье об организации несогласованной акции (ч. 2 ст. 20.2 КоАП). Адвокат Андрей Лепехин собирается обжаловать решение. По версии полицейских, челябинцы якобы «приняли решение о проведении массового меропрития», «оповестили граждан» и провели акцию, участники которой использовали плакаты «Я/Мы Хабаровск», «Хабаровск, Миасс с вами». 25 июля в разных городах прошли акции в поддержку бывшего губернатора Хабаровского края Сергея Фургала. Акция в Хабаровске собрала, по разным подсчетам, от 20 до 90 тысяч человек. В нескольких городах не обошлось без задержаний. Мы опубликовали списки задержанных."
6,Андрей Лепехин,-1,8,22,Адвокат Андрей Лепехин собирается обжаловать решение,"Миасский городской суд 28 июля оштрафовал на 20 тысяч рублей местных жителей Михаила Кумина и Евгения Лузина из-за акции в поддержку протестующих в Хабаровском крае. Об этом сообщает «Апология протеста». Суд признал Кумина и Лузина виновными по статье об организации несогласованной акции (ч. 2 ст. 20.2 КоАП). Адвокат Андрей Лепехин собирается обжаловать решение. По версии полицейских, челябинцы якобы «приняли решение о проведении массового меропрития», «оповестили граждан» и провели акцию, участники которой использовали плакаты «Я/Мы Хабаровск», «Хабаровск, Миасс с вами». 25 июля в разных городах прошли акции в поддержку бывшего губернатора Хабаровского края Сергея Фургала. Акция в Хабаровске собрала, по разным подсчетам, от 20 до 90 тысяч человек. В нескольких городах не обошлось без задержаний. Мы опубликовали списки задержанных."
7,Хабаровск,"['Q4454', 'Q7788', 'Q927084']",188,197,"По версии полицейских, челябинцы якобы «приняли решение о проведении массового меропрития», «оповестили граждан» и провели акцию, участники которой использовали плакаты «Я/Мы Хабаровск», «Хабаровск, Миасс с вами»","Миасский городской суд 28 июля оштрафовал на 20 тысяч рублей местных жителей Михаила Кумина и Евгения Лузина из-за акции в поддержку протестующих в Хабаровском крае. Об этом сообщает «Апология протеста». Суд признал Кумина и Лузина виновными по статье об организации несогласованной акции (ч. 2 ст. 20.2 КоАП). Адвокат Андрей Лепехин собирается обжаловать решение. По версии полицейских, челябинцы якобы «приняли решение о проведении массового меропрития», «оповестили граждан» и провели акцию, участники которой использовали плакаты «Я/Мы Хабаровск», «Хабаровск, Миасс с вами». 25 июля в разных городах прошли акции в поддержку бывшего губернатора Хабаровского края Сергея Фургала. Акция в Хабаровске собрала, по разным подсчетам, от 20 до 90 тысяч человек. В нескольких городах не обошлось без задержаний. Мы опубликовали списки задержанных."
8,Миасс,"['Q105455', 'Q642028', 'Q15254543']",199,204,"По версии полицейских, челябинцы якобы «приняли решение о проведении массового меропрития», «оповестили граждан» и провели акцию, участники которой использовали плакаты «Я/Мы Хабаровск», «Хабаровск, Миасс с вами»","Миасский городской суд 28 июля оштрафовал на 20 тысяч рублей местных жителей Михаила Кумина и Евгения Лузина из-за акции в поддержку протестующих в Хабаровском крае. Об этом сообщает «Апология протеста». Суд признал Кумина и Лузина виновными по статье об организации несогласованной акции (ч. 2 ст. 20.2 КоАП). Адвокат Андрей Лепехин собирается обжаловать решение. По версии полицейских, челябинцы якобы «приняли решение о проведении массового меропрития», «оповестили граждан» и провели акцию, участники которой использовали плакаты «Я/Мы Хабаровск», «Хабаровск, Миасс с вами». 25 июля в разных городах прошли акции в поддержку бывшего губернатора Хабаровского края Сергея Фургала. Акция в Хабаровске собрала, по разным подсчетам, от 20 до 90 тысяч человек. В нескольких городах не обошлось без задержаний. Мы опубликовали списки задержанных."
9,Хабаровского края,"['Q4221800', 'Q4085524', 'Q100359982']",70,87,25 июля в разных городах прошли акции в поддержку бывшего губернатора Хабаровского края Сергея Фургала,"Миасский городской суд 28 июля оштрафовал на 20 тысяч рублей местных жителей Михаила Кумина и Евгения Лузина из-за акции в поддержку протестующих в Хабаровском крае. Об этом сообщает «Апология протеста». Суд признал Кумина и Лузина виновными по статье об организации несогласованной акции (ч. 2 ст. 20.2 КоАП). Адвокат Андрей Лепехин собирается обжаловать решение. По версии полицейских, челябинцы якобы «приняли решение о проведении массового меропрития», «оповестили граждан» и провели акцию, участники которой использовали плакаты «Я/Мы Хабаровск», «Хабаровск, Миасс с вами». 25 июля в разных городах прошли акции в поддержку бывшего губернатора Хабаровского края Сергея Фургала. Акция в Хабаровске собрала, по разным подсчетам, от 20 до 90 тысяч человек. В нескольких городах не обошлось без задержаний. Мы опубликовали списки задержанных."
