,entity,id,start,end,sent_context,full_context
0,Арсенала,Q1875429,21,29,Форвард лондонского «Арсенала» Александр Ляказетт забил первый гол в новом сезоне АПЛ,"Форвард лондонского «Арсенала» Александр Ляказетт забил первый гол в новом сезоне АПЛ. Он отличился на девятой минуте матча первого тура против «Фулхэма». Француз быстрее всех успел среагировать на отскок мяча после удара Виллиана. В прошлом сезоне «Арсенал» финишировал восьмым, набрав 56 очков. «Фулхэм» же вернулся в АПЛ, победив в плей-офф за повышение в классе. В финальном матче команда оказалась сильнее «Брентфорда». В данный момент в матче продолжается первый тайм. «Арсенал» продолжает вести со счетом 1:0."
1,Александр Ляказетт,Q13306,31,49,Форвард лондонского «Арсенала» Александр Ляказетт забил первый гол в новом сезоне АПЛ,"Форвард лондонского «Арсенала» Александр Ляказетт забил первый гол в новом сезоне АПЛ. Он отличился на девятой минуте матча первого тура против «Фулхэма». Француз быстрее всех успел среагировать на отскок мяча после удара Виллиана. В прошлом сезоне «Арсенал» финишировал восьмым, набрав 56 очков. «Фулхэм» же вернулся в АПЛ, победив в плей-офф за повышение в классе. В финальном матче команда оказалась сильнее «Брентфорда». В данный момент в матче продолжается первый тайм. «Арсенал» продолжает вести со счетом 1:0."
2,АПЛ,Q60737746,82,85,Форвард лондонского «Арсенала» Александр Ляказетт забил первый гол в новом сезоне АПЛ,"Форвард лондонского «Арсенала» Александр Ляказетт забил первый гол в новом сезоне АПЛ. Он отличился на девятой минуте матча первого тура против «Фулхэма». Француз быстрее всех успел среагировать на отскок мяча после удара Виллиана. В прошлом сезоне «Арсенал» финишировал восьмым, набрав 56 очков. «Фулхэм» же вернулся в АПЛ, победив в плей-офф за повышение в классе. В финальном матче команда оказалась сильнее «Брентфорда». В данный момент в матче продолжается первый тайм. «Арсенал» продолжает вести со счетом 1:0."
3,Фулхэма,-1,58,65,Он отличился на девятой минуте матча первого тура против «Фулхэма»,"Форвард лондонского «Арсенала» Александр Ляказетт забил первый гол в новом сезоне АПЛ. Он отличился на девятой минуте матча первого тура против «Фулхэма». Француз быстрее всех успел среагировать на отскок мяча после удара Виллиана. В прошлом сезоне «Арсенал» финишировал восьмым, набрав 56 очков. «Фулхэм» же вернулся в АПЛ, победив в плей-офф за повышение в классе. В финальном матче команда оказалась сильнее «Брентфорда». В данный момент в матче продолжается первый тайм. «Арсенал» продолжает вести со счетом 1:0."
4,Виллиана,Q8021336,67,75,Француз быстрее всех успел среагировать на отскок мяча после удара Виллиана,"Форвард лондонского «Арсенала» Александр Ляказетт забил первый гол в новом сезоне АПЛ. Он отличился на девятой минуте матча первого тура против «Фулхэма». Француз быстрее всех успел среагировать на отскок мяча после удара Виллиана. В прошлом сезоне «Арсенал» финишировал восьмым, набрав 56 очков. «Фулхэм» же вернулся в АПЛ, победив в плей-офф за повышение в классе. В финальном матче команда оказалась сильнее «Брентфорда». В данный момент в матче продолжается первый тайм. «Арсенал» продолжает вести со счетом 1:0."
5,Арсенал,Q1875429,18,25,"В прошлом сезоне «Арсенал» финишировал восьмым, набрав 56 очков","Форвард лондонского «Арсенала» Александр Ляказетт забил первый гол в новом сезоне АПЛ. Он отличился на девятой минуте матча первого тура против «Фулхэма». Француз быстрее всех успел среагировать на отскок мяча после удара Виллиана. В прошлом сезоне «Арсенал» финишировал восьмым, набрав 56 очков. «Фулхэм» же вернулся в АПЛ, победив в плей-офф за повышение в классе. В финальном матче команда оказалась сильнее «Брентфорда». В данный момент в матче продолжается первый тайм. «Арсенал» продолжает вести со счетом 1:0."
6,Фулхэм,Q18708,1,7,"«Фулхэм» же вернулся в АПЛ, победив в плей-офф за повышение в классе","Форвард лондонского «Арсенала» Александр Ляказетт забил первый гол в новом сезоне АПЛ. Он отличился на девятой минуте матча первого тура против «Фулхэма». Француз быстрее всех успел среагировать на отскок мяча после удара Виллиана. В прошлом сезоне «Арсенал» финишировал восьмым, набрав 56 очков. «Фулхэм» же вернулся в АПЛ, победив в плей-офф за повышение в классе. В финальном матче команда оказалась сильнее «Брентфорда». В данный момент в матче продолжается первый тайм. «Арсенал» продолжает вести со счетом 1:0."
7,АПЛ,Q60737746,23,26,"«Фулхэм» же вернулся в АПЛ, победив в плей-офф за повышение в классе","Форвард лондонского «Арсенала» Александр Ляказетт забил первый гол в новом сезоне АПЛ. Он отличился на девятой минуте матча первого тура против «Фулхэма». Француз быстрее всех успел среагировать на отскок мяча после удара Виллиана. В прошлом сезоне «Арсенал» финишировал восьмым, набрав 56 очков. «Фулхэм» же вернулся в АПЛ, победив в плей-офф за повышение в классе. В финальном матче команда оказалась сильнее «Брентфорда». В данный момент в матче продолжается первый тайм. «Арсенал» продолжает вести со счетом 1:0."
8,Брентфорда,Q19571,45,55,В финальном матче команда оказалась сильнее «Брентфорда»,"Форвард лондонского «Арсенала» Александр Ляказетт забил первый гол в новом сезоне АПЛ. Он отличился на девятой минуте матча первого тура против «Фулхэма». Француз быстрее всех успел среагировать на отскок мяча после удара Виллиана. В прошлом сезоне «Арсенал» финишировал восьмым, набрав 56 очков. «Фулхэм» же вернулся в АПЛ, победив в плей-офф за повышение в классе. В финальном матче команда оказалась сильнее «Брентфорда». В данный момент в матче продолжается первый тайм. «Арсенал» продолжает вести со счетом 1:0."
9,Арсенал,Q1875429,1,8,«Арсенал» продолжает вести со счетом 1:0.,"Форвард лондонского «Арсенала» Александр Ляказетт забил первый гол в новом сезоне АПЛ. Он отличился на девятой минуте матча первого тура против «Фулхэма». Француз быстрее всех успел среагировать на отскок мяча после удара Виллиана. В прошлом сезоне «Арсенал» финишировал восьмым, набрав 56 очков. «Фулхэм» же вернулся в АПЛ, победив в плей-офф за повышение в классе. В финальном матче команда оказалась сильнее «Брентфорда». В данный момент в матче продолжается первый тайм. «Арсенал» продолжает вести со счетом 1:0."
